trade_date,stock_code,target_weight
2018-05-03,sh600284,0.1
2018-05-03,sz002558,0.1
2018-05-03,sz002580,0.1
2018-05-03,sz002014,0.1
2018-05-03,sh600746,0.1
2018-05-03,sh603018,0.1
2018-05-03,sz002706,0.1
2018-05-03,sz002058,0.1
2018-05-03,sh603456,0.1
2018-05-10,sz002580,0.1
2018-05-10,sz000550,0.1
2018-05-10,sz002058,0.1
2018-05-10,sz300004,0.1
2018-05-10,sh600284,0.1
2018-05-10,sz002706,0.1
2018-05-10,sz000760,0.1
2018-05-10,sz002014,0.1
2018-05-10,sh603018,0.1
2018-05-10,sh600746,0.1
2018-05-17,sz000550,0.1
2018-05-17,sz002511,0.1
2018-05-17,sz300284,0.1
2018-05-17,sz300441,0.1
2018-05-17,sh600284,0.1
2018-05-17,sz000760,0.1
2018-05-17,sz002014,0.1
2018-05-17,sh603018,0.1
2018-05-17,sz002749,0.1
2018-05-17,sz002706,0.1
2018-05-24,sh600477,0.1
2018-05-24,sz300284,0.1
2018-05-24,sh600284,0.1
2018-05-24,sz000060,0.1
2018-05-24,sh603268,0.1
2018-05-24,sz002706,0.1
2018-05-24,sz300441,0.1
2018-05-24,sh603018,0.1
2018-05-24,sz002749,0.1
2018-05-24,sz002014,0.1
2018-05-31,sz002014,0.1
2018-05-31,sh600167,0.1
2018-05-31,sz300441,0.1
2018-05-31,sz300296,0.1
2018-05-31,sz000544,0.1
2018-05-31,sh600477,0.1
2018-05-31,sh600366,0.1
2018-05-31,sz300284,0.1
2018-05-31,sh603018,0.1
2018-05-31,sz002749,0.1
2018-06-07,sz300296,0.1
2018-06-07,sh600477,0.1
2018-06-07,sh603018,0.1
2018-06-07,sh600167,0.1
2018-06-07,sz002014,0.1
2018-06-07,sh600523,0.1
2018-06-07,sh600366,0.1
2018-06-07,sz002625,0.1
2018-06-07,sz000065,0.1
2018-06-07,sz002749,0.1
2018-06-14,sh600477,0.1
2018-06-14,sz002034,0.1
2018-06-14,sz002749,0.1
2018-06-14,sh600523,0.1
2018-06-14,sz002454,0.1
2018-06-14,sh600366,0.1
2018-06-14,sz002625,0.1
2018-06-14,sz000065,0.1
2018-06-14,sh603969,0.1
2018-06-14,sh603977,0.1
2018-06-22,sh600969,0.1
