Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2022-09-19,Stock,宁德时代(300750.XSHE),Long,100Shares,0Shares,413.67,41367,404,409.63,-,0,404,100Shares,0.99%,172132.52,24.03%
2022-09-19,Stock,盛弘股份(300693.XSHE),Long,1500Shares,0Shares,36,54000,-1230,36.82,-,0,-1230,1500Shares,-2.23%,172132.52,31.37%
2022-09-19,,Cash,,,,,20429.52,,,,,,,,0
2022-09-20,Stock,科华数据(002335.XSHE),Long,1600Shares,1600Shares,37.89,60624,4464,35.1,-,0,4288,0Shares,7.95%,179974.52,33.68%
2022-09-20,Stock,宁德时代(300750.XSHE),Long,100Shares,100Shares,421.01,42101,1138,409.63,-,0,734,0Shares,2.78%,179974.52,23.39%
2022-09-20,Stock,盛弘股份(300693.XSHE),Long,1500Shares,1500Shares,37.88,56820,1590,36.82,-,0,2820,0Shares,2.88%,179974.52,31.57%
2022-09-20,,Cash,,,,,20429.52,,,,,,,,0
2022-09-21,Stock,科华数据(002335.XSHE),Long,1600Shares,1600Shares,37.15,59440,3280,35.1,-,0,-1184,0Shares,5.84%,175080.3,33.95%
2022-09-21,Stock,宁德时代(300750.XSHE),Long,100Shares,100Shares,420.3,42030,1067,409.63,-,0,-71,0Shares,2.6%,175080.3,24.01%
2022-09-21,,Cash,,,,,73610.3,,,,,,,,0
2022-09-22,Stock,宁德时代(300750.XSHE),Long,100Shares,100Shares,414.99,41499,536,409.63,-,0,-531,0Shares,1.31%,180400.31,23%
2022-09-22,,Cash,,,,,138901.31,,,,,,,,0
2022-09-23,Stock,宁德时代(300750.XSHE),Long,100Shares,100Shares,417.34,41734,771,409.63,-,0,235,0Shares,1.88%,180635.31,23.1%
2022-09-23,,Cash,,,,,138901.31,,,,,,,,0
2022-09-26,Stock,宁德时代(300750.XSHE),Long,100Shares,100Shares,428.66,42866,1903,409.63,-,0,1132,0Shares,4.65%,193205.98,22.19%
