date,q1,q2,q3,q4,q5
2018-03-16,-0.05850032499409202,-0.042535038452448416,-0.04975405548685457,-0.052399708939847425,-0.06735136121808913
2018-03-19,-0.05880965728751184,-0.037644389886350424,-0.033245180850551906,-0.04174689570282218,-0.04661498222944565
2018-03-20,-0.03619475500888878,-0.026843867693517643,-0.025919793184487866,-0.025399737645686017,-0.02469073035543141
2018-03-21,-0.0614818076783155,-0.04716522761578102,-0.0413489013230038,-0.0439576486823478,-0.023208040878741017
2018-03-22,-0.04707028668932028,-0.038031348367066495,-0.030298349040166137,-0.023396851928313627,-0.010603182300889243
2018-03-23,0.005850878758452724,0.010409013584523175,-0.0002840282471365467,0.006726498167236736,0.03422468245831189
2018-03-26,-0.029601511595616994,-0.01224481471283231,-0.019950964041037043,-0.01216394568443409,0.02127677621382045
2018-03-27,-0.04020847553297886,-0.022690646000043304,-0.02440300271959166,-0.020072968872725545,0.021465144413950383
2018-03-28,0.028640859359541814,-0.0018268486858512695,0.014950194627460542,0.016471753840052655,0.05615735019043343
2018-03-29,0.04756307011128597,0.01725120299082582,0.02379801597098039,0.021229704730609294,0.05927136163897117
2018-04-03,0.05788925200032867,0.020509239138911367,0.014595341787926727,0.01921259827432251,0.04312530386961203
2018-04-04,0.20431902497136958,0.03154074540095747,0.029817183084519895,0.019231498548985274,0.04118808811280632
2018-04-06,0.2201013946413125,0.030849293719508758,0.02484537886682233,0.013642042428726341,0.010140981197829389
2018-04-09,0.012862786239974966,-0.0022268320313819576,0.004642783022032414,-0.0017766125269377184,-0.01667637391239991
2018-04-10,-0.055647221376716786,-0.028462783303146246,-0.027781711082852076,-0.023756723253874963,-0.03676656687827586
2018-04-11,-0.07177710663428483,-0.03821344729196998,-0.031907318358959685,-0.02677664548106168,-0.02709612045124021
2018-04-12,-0.03617721685318707,-0.017595278814002597,-0.018192390259841117,-0.004226673603402251,0.0005639107253207645
2018-04-13,-0.04890190764027142,-0.029768147852201984,-0.0326544629069714,-0.02097701748534958,-0.026754895857425878
2018-04-16,-0.034806397022322105,-0.01718755157454378,-0.025333648441608802,-0.018855668089641696,-0.01616134416847598
2018-04-17,0.036479389538815576,0.011638308655689924,0.008107120318823125,0.006094093305816945,0.01998002211084634
2018-04-18,0.03673347055560891,0.008525672964718907,0.00135591655238051,0.012791296726375979,0.013135339471931145
