combo_id,strategy_name,strategy_description,holding_period,selection_count,factor_long_term_low_volume,factor_rolling_pe,factor_turnover_rate,factor_oversold,cumulative_nav,annual_return,max_drawdown,return_drawdown_ratio,win_rate,return_std_dev
591,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 24 | Oversold: 250,10D,5,30,,24,250,18.22,19.62%,-51.29%,0.38,53.88%,2.00%
592,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,25.3,22.06%,-46.85%,0.47,53.55%,2.01%
593,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 10 | Oversold: 250,10D,5,30,,10,250,23.16,21.40%,-47.64%,0.45,53.78%,2.01%
594,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 11 | Oversold: 250,10D,5,30,,11,250,8.36,14.00%,-51.95%,0.27,53.04%,2.00%
595,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 12 | Oversold: 250,10D,5,30,,12,250,6.89,12.64%,-53.13%,0.24,52.73%,1.99%
596,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,8.71,14.29%,-54.64%,0.26,52.94%,2.01%
597,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,11.19,16.07%,-52.35%,0.31,53.63%,2.01%
598,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,14.16,17.77%,-52.34%,0.34,53.57%,2.03%
599,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 16 | Oversold: 250,10D,5,30,,16,250,13.4,17.37%,-53.12%,0.33,53.78%,2.03%
600,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 17 | Oversold: 46,10D,5,30,,17,46,14.18,17.78%,-49.80%,0.36,53.63%,2.02%
601,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,10.79,15.81%,-54.05%,0.29,53.50%,2.02%
602,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,13.29,17.31%,-55.08%,0.31,53.50%,2.02%
603,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 20 | Oversold: 250,10D,5,30,,20,250,13.2,17.26%,-52.70%,0.33,53.40%,2.02%
604,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 21 | Oversold: 250,10D,5,30,,21,250,18.58,19.76%,-54.49%,0.36,53.83%,2.02%
605,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 22 | Oversold: 250,10D,5,30,,22,250,18.81,19.85%,-52.34%,0.38,54.24%,2.01%
606,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,18.55,19.75%,-52.46%,0.38,54.26%,2.00%
607,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 24 | Oversold: 250,10D,5,30,,24,250,19.71,20.20%,-49.27%,0.41,53.80%,2.01%
608,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,23.43,21.48%,-47.15%,0.46,54.08%,2.02%
609,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 10 | Oversold: 250,10D,5,30,,10,250,21.65,20.89%,-47.20%,0.44,54.06%,2.02%
610,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 11 | Oversold: 250,10D,5,30,,11,250,9.14,14.63%,-51.95%,0.28,52.89%,2.00%
611,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 12 | Oversold: 250,10D,5,30,,12,250,10.05,15.30%,-55.56%,0.28,53.04%,2.00%
612,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,8.99,14.51%,-55.68%,0.26,53.29%,2.00%
613,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,14.01,17.69%,-53.52%,0.33,53.90%,2.01%
614,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,17.31,19.24%,-51.96%,0.37,53.65%,2.02%
615,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 16 | Oversold: 250,10D,5,30,,16,250,17.81,19.45%,-52.67%,0.37,53.32%,2.02%
616,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,14.76,18.07%,-52.14%,0.35,53.17%,2.03%
617,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,12.11,16.64%,-52.55%,0.32,53.14%,2.01%
618,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,13.94,17.65%,-54.68%,0.32,53.01%,2.03%
619,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 20 | Oversold: 250,10D,5,30,,20,250,17.08,19.14%,-56.60%,0.34,53.60%,2.02%
620,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 21 | Oversold: 250,10D,5,30,,21,250,24.23,21.74%,-54.04%,0.4,53.93%,2.02%
621,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 22 | Oversold: 250,10D,5,30,,22,250,29.29,23.17%,-52.19%,0.44,54.08%,2.01%
622,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,29.92,23.33%,-50.95%,0.46,54.01%,2.01%
623,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 24 | Oversold: 250,10D,5,30,,24,250,28.6,22.99%,-47.91%,0.48,54.21%,2.01%
624,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,26.03,22.28%,-48.19%,0.46,54.24%,2.01%
625,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 10 | Oversold: 48,10D,5,30,,10,48,27.53,22.70%,-47.91%,0.47,54.24%,2.02%
626,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 11 | Oversold: 48,10D,5,30,,11,48,12.36,16.79%,-55.65%,0.3,52.76%,2.01%
627,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 12 | Oversold: 48,10D,5,30,,12,48,11.64,16.35%,-55.04%,0.3,52.91%,2.01%
628,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 48,10D,5,30,,30,48,12.57,16.91%,-52.17%,0.32,53.07%,2.01%
629,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 48,10D,5,30,,30,48,13.05,17.18%,-52.88%,0.32,53.27%,2.00%
630,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 48,10D,5,30,,30,48,12.55,16.89%,-52.34%,0.32,53.14%,2.02%
631,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 16 | Oversold: 48,10D,5,30,,16,48,14.49,17.94%,-52.65%,0.34,53.37%,2.02%
632,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 48,10D,5,30,,30,48,9.51,14.91%,-56.29%,0.26,52.73%,2.02%
633,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 48,10D,5,30,,30,48,11.36,16.18%,-53.21%,0.3,53.09%,2.02%
634,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 48,10D,5,30,,30,48,14.78,18.08%,-56.52%,0.32,53.09%,2.03%
635,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 20 | Oversold: 48,10D,5,30,,20,48,11.62,16.34%,-56.75%,0.29,53.40%,2.01%
636,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 21 | Oversold: 48,10D,5,30,,21,48,18.29,19.64%,-54.48%,0.36,53.75%,2.01%
637,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 22 | Oversold: 48,10D,5,30,,22,48,22.95,21.33%,-52.37%,0.41,53.80%,2.01%
638,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 48,10D,5,30,,30,48,22.12,21.05%,-54.82%,0.38,53.73%,2.01%
639,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 48,10D,5,30,,30,48,26.84,22.51%,-52.33%,0.43,54.01%,2.01%
640,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 48,10D,5,30,,30,48,24.74,21.90%,-50.53%,0.43,53.93%,2.01%
641,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 10 | Oversold: 250,10D,5,30,,10,250,21.15,20.72%,-49.26%,0.42,53.78%,2.01%
642,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 11 | Oversold: 250,10D,5,30,,11,250,13.2,17.26%,-50.00%,0.35,52.66%,2.00%
643,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 12 | Oversold: 250,10D,5,30,,12,250,9.33,14.78%,-55.08%,0.27,52.79%,2.00%
644,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,7.84,13.55%,-55.73%,0.24,53.04%,2.01%
645,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,13.42,17.38%,-54.17%,0.32,53.29%,2.01%
646,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,17.02,19.11%,-52.60%,0.36,53.09%,2.02%
647,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 16 | Oversold: 250,10D,5,30,,16,250,18.65,19.79%,-52.80%,0.37,53.04%,2.03%
648,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 17 | Oversold: 250,10D,5,30,,17,250,10.2,15.41%,-56.72%,0.27,52.91%,2.02%
649,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,7.89,13.59%,-54.63%,0.25,52.18%,2.02%
650,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,9.54,14.94%,-56.59%,0.26,52.71%,2.03%
651,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 20 | Oversold: 250,10D,5,30,,20,250,9.48,14.89%,-56.67%,0.26,52.79%,2.02%
652,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 21 | Oversold: 250,10D,5,30,,21,250,10.56,15.66%,-54.86%,0.29,53.04%,2.01%
653,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 22 | Oversold: 250,10D,5,30,,22,250,13.64,17.50%,-52.78%,0.33,52.99%,2.00%
654,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,15.95,18.64%,-53.62%,0.35,53.17%,2.01%
655,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 24 | Oversold: 250,10D,5,30,,24,250,18.63,19.78%,-52.02%,0.38,53.35%,2.02%
656,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,14.29,17.83%,-51.22%,0.35,53.22%,2.01%
657,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 10 | Oversold: 250,10D,5,30,,10,250,23.94,21.65%,-49.40%,0.44,53.35%,2.02%
658,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 11 | Oversold: 250,10D,5,30,,11,250,12.41,16.81%,-52.05%,0.32,52.76%,2.01%
659,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 12 | Oversold: 250,10D,5,30,,12,250,10.78,15.80%,-52.94%,0.3,52.79%,2.00%
660,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,10.41,15.55%,-54.18%,0.29,52.94%,2.01%
661,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,14.81,18.09%,-54.03%,0.33,53.12%,2.02%
662,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,15.79,18.56%,-53.58%,0.35,52.71%,2.02%
663,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 16 | Oversold: 250,10D,5,30,,16,250,15.19,18.28%,-52.33%,0.35,52.61%,2.03%
664,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,15.86,18.60%,-50.54%,0.37,52.79%,2.04%
665,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,13.85,17.61%,-50.95%,0.35,52.63%,2.02%
666,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,12.5,16.87%,-57.12%,0.3,52.63%,2.02%
667,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 20 | Oversold: 250,10D,5,30,,20,250,13.31,17.32%,-57.03%,0.3,53.04%,2.01%
668,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 21 | Oversold: 250,10D,5,30,,21,250,16.73,18.99%,-53.53%,0.35,52.94%,2.00%
669,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 22 | Oversold: 250,10D,5,30,,22,250,16.73,18.99%,-53.53%,0.35,52.94%,2.00%
670,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,18.53,19.74%,-53.30%,0.37,53.19%,2.00%
671,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 24 | Oversold: 250,10D,5,30,,24,250,18.06,19.55%,-48.34%,0.4,53.12%,2.00%
672,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,20.92,20.64%,-49.99%,0.41,53.52%,2.01%
