"Date","OrderTime","AssetType","Security","TradeSide","OrderType","FilledQuantity","FilledPrice","FilledAmount","OrderQuantity","OrderPrice","RealizedPnL","Commission","Status","LastUpdatedAt"
"2011-09-28","11:25:00","Equity","002600.XSHE","Sell","MarketOrder","-2000 shares","18.87","-37740","-2000 shares","-","700","54.72","Filled","2011-09-28 11:25:00"
"2011-09-30","09:30:00","Equity","002335.XSHE","Buy","MarketOrder","2000 shares","19","38000","2000 shares","-","0","17.1","Filled","2011-09-30 09:30:00"
"2011-09-30","09:30:00","Equity","002611.XSHE","Buy","MarketOrder","2300 shares","16","36800","2300 shares","-","0","16.56","Filled","2011-09-30 09:30:00"
"2011-09-30","09:30:00","Equity","600803.XSHG","Buy","MarketOrder","3700 shares","10.31","38147","3700 shares","-","0","17.17","Filled","2011-09-30 09:30:00"
"2011-10-13","11:25:00","Equity","002611.XSHE","Sell","MarketOrder","-2300 shares","17.32","-39836","-2300 shares","-","3036","57.76","Filled","2011-10-13 11:25:00"
"2011-10-21","09:30:00","Equity","002236.XSHE","Buy","MarketOrder","1000 shares","40.61","40610","1000 shares","-","0","18.27","Filled","2011-10-21 09:30:00"
"2011-10-21","14:50:00","Equity","002335.XSHE","Sell","MarketOrder","-2000 shares","18.39","-36780","-2000 shares","-","-1220","53.33","Filled","2011-10-21 14:50:00"
"2011-10-24","09:30:00","Equity","000591.XSHE","Buy","MarketOrder","6200 shares","6","37200","6200 shares","-","0","16.74","Filled","2011-10-24 09:30:00"
"2011-10-24","11:25:00","Equity","002236.XSHE","Sell","MarketOrder","-1000 shares","38.29","-38290","-1000 shares","-","-2320","55.52","Filled","2011-10-24 11:25:00"
"2011-10-25","09:30:00","Equity","002056.XSHE","Buy","MarketOrder","600 shares","19.38","11628","600 shares","-","0","5.23","Filled","2011-10-25 09:30:00"
"2011-10-25","09:30:00","Equity","002236.XSHE","Buy","MarketOrder","300 shares","38.8","11640","300 shares","-","0","5.24","Filled","2011-10-25 09:30:00"
"2011-10-25","09:30:00","Equity","300059.XSHE","Buy","MarketOrder","600 shares","18.83","11298","600 shares","-","0","5.08","Filled","2011-10-25 09:30:00"
"2011-10-28","11:25:00","Equity","300059.XSHE","Sell","MarketOrder","-600 shares","22.17","-13302","-600 shares","-","2004","19.29","Filled","2011-10-28 11:25:00"
"2011-11-03","11:25:00","Equity","000591.XSHE","Sell","MarketOrder","-6200 shares","6.9","-42780","-6200 shares","-","5580","62.03","Filled","2011-11-03 11:25:00"
"2011-11-03","11:25:00","Equity","002236.XSHE","Sell","MarketOrder","-300 shares","45.1","-13530","-300 shares","-","1890","19.62","Filled","2011-11-03 11:25:00"
"2011-11-11","09:30:00","Equity","600760.XSHG","Buy","MarketOrder","7800 shares","9.44","73632","7800 shares","-","0","33.13","Filled","2011-11-11 09:30:00"
"2011-11-14","11:25:00","Equity","002056.XSHE","Sell","MarketOrder","-600 shares","22.26","-13356","-600 shares","-","1728","19.37","Filled","2011-11-14 11:25:00"
"2011-11-15","11:25:00","Equity","600760.XSHG","Sell","MarketOrder","-7800 shares","9.84","-76752","-7800 shares","-","3120","111.29","Filled","2011-11-15 11:25:00"
"2011-11-21","09:30:00","Equity","002600.XSHE","Buy","MarketOrder","1500 shares","19.52","29280","1500 shares","-","0","13.18","Filled","2011-11-21 09:30:00"
"2011-11-21","09:30:00","Equity","300059.XSHE","Buy","MarketOrder","1300 shares","22.2","28860","1300 shares","-","0","12.99","Filled","2011-11-21 09:30:00"
"2011-11-21","09:30:00","Equity","601117.XSHG","Buy","MarketOrder","4000 shares","7.38","29520","4000 shares","-","0","13.28","Filled","2011-11-21 09:30:00"
"2011-11-22","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","100 shares","20.96","2096","100 shares","-","0","5","Filled","2011-11-22 09:30:00"
"2011-11-24","09:30:00","Equity","601117.XSHG","Sell","MarketOrder","-4000 shares","7.2","-28800","-4000 shares","-","-720","41.76","Filled","2011-11-24 09:30:00"
"2011-11-24","09:30:00","Equity","002600.XSHE","Sell","MarketOrder","-1500 shares","19.4","-29100","-1500 shares","-","-180","42.19","Filled","2011-11-24 09:30:00"
"2011-11-29","09:30:00","Equity","002402.XSHE","Buy","MarketOrder","3500 shares","16.4","57400","3500 shares","-","0","25.83","Filled","2011-11-29 09:30:00"
"2011-11-30","14:50:00","Equity","002402.XSHE","Sell","MarketOrder","-3500 shares","15.38","-53830","-3500 shares","-","-3570","78.05","Filled","2011-11-30 14:50:00"
"2011-12-02","11:25:00","Equity","002049.XSHE","Sell","MarketOrder","-100 shares","21.62","-2162","-100 shares","-","66","7.16","Filled","2011-12-02 11:25:00"
"2011-12-05","09:30:00","Equity","600760.XSHG","Buy","MarketOrder","3000 shares","9.2","27600","3000 shares","-","0","12.42","Filled","2011-12-05 09:30:00"
"2011-12-05","09:30:00","Equity","600011.XSHG","Buy","MarketOrder","6300 shares","4.46","28098","6300 shares","-","0","12.64","Filled","2011-12-05 09:30:00"
"2011-12-05","14:50:00","Equity","300059.XSHE","Sell","MarketOrder","-1300 shares","20.8","-27040","-1300 shares","-","-1820","39.21","Filled","2011-12-05 14:50:00"
"2011-12-06","11:25:00","Equity","600011.XSHG","Sell","MarketOrder","-6300 shares","4.18","-26334","-6300 shares","-","-1764","38.18","Filled","2011-12-06 11:25:00"
"2011-12-07","09:30:00","Equity","300059.XSHE","Buy","MarketOrder","800 shares","20.31","16248","800 shares","-","0","7.31","Filled","2011-12-07 09:30:00"
