,carry_return,funding_return,post_trade_return,fee_return,gross_return,net_return,nav,starting_equity,gross_exposure,net_exposure,long_exposure,short_exposure,long_count,short_count,turnover
2022-03-22,0.008112941963316554,-9.114682539682541e-06,0.00019919429639662288,-3.809523809523809e-05,0.008303021577173494,0.008264926339078256,1.7770851227021787,475.8798710491173,0.8095238095238095,0.0,0.40476190476190466,0.4047619047619048,21,21,0.09523809523809523
2022-03-23,-0.006409221846316404,-2.095238095238098e-06,0.0021860560069094075,-3.1746031746031745e-05,-0.004225261077502234,-0.004257007109248266,1.7695200587010962,479.81298312958825,0.8253968253968254,0.0,0.4126984126984127,0.4126984126984127,23,22,0.07936507936507936
2022-03-24,-0.0004909657658513256,9.561190476190478e-06,-0.0027539404133590287,-3.1746031746031745e-05,-0.003235344988734164,-0.0032670910204801954,1.7637388756067542,477.77041584929594,0.8253968253968254,0.0,0.41269841269841256,0.41269841269841256,22,24,0.07936507936507936
2022-03-25,0.0013608334868003428,4.829365079365074e-07,1.4249023548186776e-05,-3.1746031746031745e-05,0.0013755654468564661,0.0013438194151104343,1.7661090221509799,476.2094964138237,0.8412698412698412,0.0,0.4206349206349205,0.4206349206349206,22,24,0.07936507936507936
2022-03-26,0.0007477998798751592,-1.6791349206349207e-05,0.0018566502720376392,-3.1746031746031745e-05,0.002587658802706449,0.0025559127709604175,1.770623042755604,476.84943598076455,0.8095238095238091,0.0,0.40476190476190477,0.40476190476190466,23,24,0.07936507936507936
2022-03-27,-0.0011412578852552317,7.260873015873016e-05,-0.0005320521595987171,-3.809523809523809e-05,-0.0016007013146952186,-0.0016387965527904567,1.7677213518168449,478.06822154401306,0.8095238095238089,0.0,0.40476190476190466,0.40476190476190466,24,26,0.09523809523809523
2022-03-28,0.010651026400967201,0.00011181166666666665,-0.0010881291539359375,-3.809523809523809e-05,0.00967470891369793,0.009636613675602692,1.784756199570418,477.2847649905481,0.8253968253968247,0.0,0.41269841269841256,0.41269841269841256,26,25,0.09523809523809523
2022-03-29,0.000459346704130022,3.1461904761904768e-06,-0.0017631308820474224,-3.1746031746031745e-05,-0.0013006379874412098,-0.0013323840191872417,1.782378218931965,481.88417388401285,0.8412698412698405,0.0,0.4206349206349205,0.4206349206349205,26,26,0.07936507936507936
2022-03-30,-0.000893791127151066,1.6940658945086007e-21,-0.000350014472077423,-3.809523809523809e-05,-0.001243805599228489,-0.0012819008373237272,1.7800933868006885,481.24211911163053,0.8412698412698407,0.0,0.4206349206349205,0.4206349206349205,25,24,0.09523809523809523
2022-03-31,0.017789840534381138,1.6940658945086007e-21,0.00023678249764111896,-3.809523809523809e-05,0.01802662303202226,0.017988527793927022,1.8121146461649387,480.6252144361859,0.8412698412698407,0.0,0.4206349206349205,0.4206349206349206,27,22,0.09523809523809523
2022-04-01,0.009817465199648979,3.644761904761901e-06,-6.2597219749219e-05,-3.809523809523809e-05,0.009758512741804521,0.009720417503709283,1.8297291570902483,489.2709544645334,0.841269841269841,0.0,0.4206349206349206,0.4206349206349206,25,23,0.09523809523809523
2022-04-02,0.003953237327717196,5.123333333333336e-06,-0.0002966612541640002,-3.809523809523809e-05,0.0036616994068865293,0.003623604168791291,1.8363593712916397,494.02687241436706,0.8571428571428568,0.0,0.4285714285714285,0.42857142857142866,26,21,0.09523809523809523
2022-04-03,-0.008914570116380808,-7.488103174603179e-05,-0.0008719508062397137,-3.809523809523809e-05,-0.009861401954366553,-0.009899497192461791,1.8181803368511873,495.81703024874275,0.8412698412698407,0.0,0.4206349206349206,0.4206349206349207,26,20,0.09523809523809523
2022-04-04,0.004230456745383352,2.075158730158733e-06,-0.0018074157586745227,-3.809523809523809e-05,0.0024251161454389883,0.00238702090734375,1.8225203713285725,490.9086909498206,0.8730158730158728,0.0,0.4365079365079364,0.4365079365079365,27,18,0.09523809523809523
