,long_return,short_return,long_price_return,short_price_return,long_funding_return,short_funding_return,long_fee_return,short_fee_return
2023-05-17,0.0016835659267114044,-0.015027466122281013,0.0017255948156002932,-0.01504457157863022,-2.2981269841269852e-05,3.61530753968254e-05,-1.9047619047619046e-05,-1.9047619047619046e-05
2023-05-18,0.00640541778192926,-0.028565897984811253,0.0064543538136752916,-0.028549751953065222,-2.988841269841271e-05,-3.447619047619051e-06,-1.9047619047619046e-05,-1.2698412698412699e-05
2023-05-19,-0.006007720221930121,0.013560142333853538,-0.005968200618755518,0.013530410012424965,-2.364658730158731e-05,4.243073412698413e-05,-1.5873015873015872e-05,-1.2698412698412699e-05
2023-05-20,-0.0003229573012707442,0.008319836660207464,-0.00026900182508026805,0.008306076481636036,-3.808246031746033e-05,2.9633194444444445e-05,-1.5873015873015872e-05,-1.5873015873015872e-05
2023-05-21,0.004432136631995791,-0.0018321517922974175,0.004482449012948172,-0.0018512891534085286,-3.443936507936508e-05,4.1359583333333326e-05,-1.5873015873015872e-05,-2.222222222222222e-05
2023-05-22,-0.01263669958718374,0.024840607043880636,-0.0125865670475012,0.024825792182769525,-3.743412698412699e-05,3.068787698412699e-05,-1.2698412698412699e-05,-1.5873015873015872e-05
2023-05-23,0.005973762811279419,-0.008863446301036892,0.005994323823184182,-0.00888833893992578,-4.687996031746033e-06,4.076565476190475e-05,-1.5873015873015872e-05,-1.5873015873015872e-05
2023-05-24,0.007011775914432213,-0.01567290287688115,0.007064868930305229,-0.0156941311308494,-3.483904761904762e-05,3.7894920634920634e-05,-1.8253968253968254e-05,-1.6666666666666667e-05
2023-05-25,-0.007395796093268444,0.019033095570603082,-0.007391172283744634,0.01900503219758721,1.4423809523809507e-05,4.39363888888889e-05,-1.9047619047619046e-05,-1.5873015873015872e-05
2023-05-26,0.0009500530519441077,-0.005697039676649939,0.0009649126551187109,-0.005718546283792796,-5.335793650793659e-06,3.737962301587302e-05,-9.523809523809525e-06,-1.5873015873015872e-05
