symbol,total_pnl_usdt,price_pnl_usdt,funding_pnl_usdt,fee_pnl_usdt,avg_weight,avg_abs_weight,max_abs_weight,active_bars,avg_turnover,pnl_share
SPX-USDT,16.313174968416995,16.371470437356535,-0.029185721122695407,-0.029109747816842783,0.0002626050420168067,0.0002626050420168067,0.015873015873015872,46,2.501000400160064e-05,0.004762633159154453
ANKR-USDT,16.215724612990613,16.33232472195251,0.029777912024697595,-0.14637802098659314,-0.0007002801120448179,0.003092903828197946,0.04563492063492063,423,0.0003647292250233427,0.004734182517570357
1000X-USDT,15.746717279395094,15.627989247472275,0.20838188935311436,-0.08965385743029353,-0.0008753501400560223,0.0008753501400560223,0.023809523809523808,111,7.503001200480192e-05,0.0045972557768719224
1000FLOKI-USDT,15.732230032226441,15.753507955175312,0.02588181452120618,-0.047159737470074015,0.0008753501400560223,0.0008753501400560223,0.047619047619047616,85,8.336668000533546e-05,0.004593026223527225
PUMPBTC-USDT,15.710012640683008,15.818573929681609,-0.016696402471919093,-0.09186488652667602,-0.00043767507002801117,0.0006127450980392156,0.031746031746031744,101,5.835667600373482e-05,0.004586539853713898
AVA-USDT,15.370642522180706,15.405977152260713,0.02253245360378621,-0.057867083683792606,-0.0005033263305322128,0.0005033263305322128,0.02976190476190476,47,4.7935841003067894e-05,0.004487460711687011
AGT-USDT,15.062563324556006,15.388128523245292,-0.18612132060570866,-0.13944387808358097,0.00019695378151260505,0.000659638855542217,0.023809523809523808,128,6.460917700413499e-05,0.004397516957323205
STABLE-USDT,14.72944098261872,14.679015688103231,0.08648310872440014,-0.036057814208917786,-0.00017507002801120448,0.00017507002801120448,0.015873015873015872,23,1.6673336001067092e-05,0.004300261854325946
VFY-USDT,14.722746033574134,14.706027655931711,0.07155070533881072,-0.05483232769638607,-0.0002626050420168067,0.0002626050420168067,0.023809523809523808,35,2.501000400160064e-05,0.0042983072632435644
BLUR-USDT,14.654190164897209,14.649498860158317,0.0660686147178115,-0.06137730997891971,-0.001137955182072829,0.0013130252100840337,0.06349206349206349,115,0.00010004001600640255,0.004278292370125119
