,offset_00,offset_01,offset_02,offset_03,offset_04,offset_05,offset_06,offset_07,offset_08,offset_09,offset_10,offset_11,offset_12,offset_13,offset_14,offset_15,offset_16,offset_17,offset_18,offset_19,offset_20
2023-06-27,1.0254895953179581,1.1003750334693172,1.071012125583314,1.045240126579431,1.0682674143670952,1.0354152266777648,1.0561136078476383,1.0462381094991993,1.0413519535687803,1.008234237337236,0.9938814373554613,0.993479224048515,1.0680580404654694,1.0544791937348077,1.0989143446139942,1.08571015990121,1.0220705037251836,1.094005390113796,1.0274092745908263,1.0263524845841403,1.022311030227685
2023-06-28,1.0267218093186412,1.1004903372331356,1.0724772269998077,1.0455101897203325,1.069305617404692,1.0361233979312698,1.057161157746244,1.0466718249606621,1.0412015276242723,1.008621360580703,0.9926894959894098,0.9933780612727082,1.0676677648231043,1.0549660466718978,1.099140774722307,1.0865458610792902,1.0223259148321286,1.0947856637282694,1.028667563812957,1.0263773254894355,1.022518306582012
2023-06-29,1.0273581786685357,1.1009586556467266,1.0734267250936176,1.046752376539225,1.0702730247994776,1.0365141413814127,1.0580964893826512,1.0480898635389604,1.041340209041698,1.0088009919588663,0.9929588587991094,0.9939615564371619,1.067873151925156,1.0551990742604118,1.0996499277897192,1.087480293125537,1.0223743854850744,1.0956203027935254,1.0289540457244546,1.0271121245766128,1.0226849564848093
2023-06-30,1.0270906877432147,1.10075525078036,1.0731359907146656,1.0464694058950106,1.0700101367282604,1.0364936640355158,1.0578635822146802,1.0484408505606686,1.0412063599899273,1.0101192069496807,0.9926593416749265,0.994331284717331,1.0683030681180101,1.0559554963794946,1.1008804401429513,1.0880606598150464,1.022776947114812,1.094872826852519,1.0294433917905097,1.0270453763637486,1.0222713427954435
2023-07-01,1.0277800534724788,1.1014608127705532,1.0732010719027414,1.0473397881940407,1.0698188522775653,1.0369284424861993,1.0582198196942834,1.0475418667150658,1.0418685612129555,1.0105344737466202,0.9933071973501459,0.9953051808176664,1.0690758013140256,1.055682004595476,1.1070162889486308,1.0890459063430042,1.0287768426997304,1.096011026513733,1.0350836415454288,1.0317478717793682,1.0228901006527835
2023-07-02,1.027228952291986,1.1010094988803945,1.072647898709804,1.0463254812114633,1.0689834045542383,1.0368727806493985,1.0578512732054357,1.0477423497157266,1.0420952963649934,1.0105742354426022,0.9911274588518915,0.9949712524444747,1.0692007856698154,1.0556451931233508,1.1058516525102702,1.088815546830192,1.027441738737078,1.0965797251004001,1.033849144082254,1.0309604971205601,1.021893445345819
2023-07-03,1.0283826481160672,1.101181822256429,1.0723237068109646,1.0464852531189166,1.0688062312781414,1.0367131331749053,1.05765745550945,1.0487240663607162,1.0419826585668885,1.012417746982292,0.990147842779198,0.994760348472827,1.0685017904284224,1.0552601990714428,1.1053873014690236,1.0887825180422392,1.0273909729039408,1.0972875295678168,1.033638759744098,1.0307600383657929,1.0231927843424689
2023-07-04,1.0285742414038332,1.1010978253626094,1.071662540052875,1.0468265940131956,1.067942846311154,1.0360405164611965,1.057107461186801,1.0474942905539744,1.0422759268301123,1.0109557378224678,0.9914320202066933,0.9955390929783663,1.0690376803695025,1.0552897911270387,1.104608719351439,1.088624618343657,1.0273911593679053,1.0980065835886932,1.034148788841783,1.029878951561467,1.0232810626390731
2023-07-05,1.0286080188925504,1.101346878382323,1.0721186032585115,1.0472380703545412,1.067998182995056,1.0353921796108634,1.0568925040776282,1.0474750631725245,1.0424041976768292,1.0120714851070887,0.9917688004814836,0.9956938521067309,1.0692843509325132,1.0548338710057268,1.1036650563223125,1.0885058034333166,1.0266812206522271,1.1012031663308317,1.0331786152912237,1.029313265573304,1.022849633850914
2023-07-06,1.0285292803737593,1.1016910249337428,1.073008862190383,1.0475468501302196,1.0675288961082203,1.0358078381021105,1.0566539780358628,1.04834202407637,1.0420094962872783,1.0117322833584883,0.991343652307624,0.9957659566389102,1.0695134290693031,1.0553562032320336,1.1044573547106293,1.0889053819648544,1.0265023161240348,1.0995622082750198,1.0336801668318283,1.0295968417512615,1.0224499392355018
