Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2023-02-24,09:30:00,Stock,金域医学(603882.XSHG),Sell,Market_Order,-200Shares,83.85,-16770,-200Shares,-,-334,21.8,Filled,2023-02-24 09:30:00
2023-02-24,09:30:00,Stock,华鲁恒升(600426.XSHG),Buy,Market_Order,600Shares,36.3,21780,600Shares,-,0,6.53,Filled,2023-02-24 09:30:00
2023-02-24,09:30:00,Stock,宝丰能源(600989.XSHG),Buy,Market_Order,1400Shares,15.49,21686,1400Shares,-,0,6.51,Filled,2023-02-24 09:30:00
2023-02-24,09:30:00,Stock,中国电信(601728.XSHG),Buy,Market_Order,4100Shares,5.43,22263,4100Shares,-,0,6.68,Filled,2023-02-24 09:30:00
2023-03-10,09:30:00,Stock,中国电信(601728.XSHG),Sell,Market_Order,-2000Shares,6.68,-13360,-2000Shares,-,2500,18.36,Filled,2023-03-10 09:30:00
2023-03-10,09:30:00,Stock,三七互娱(002555.XSHE),Sell,Market_Order,-900Shares,22.18,-19962,-900Shares,-,-144,25.95,Filled,2023-03-10 09:30:00
2023-03-10,09:30:00,Stock,北新建材(000786.XSHE),Sell,Market_Order,-700Shares,28.94,-20258,-700Shares,-,161,26.34,Filled,2023-03-10 09:30:00
2023-03-10,09:30:00,Stock,华鲁恒升(600426.XSHG),Sell,Market_Order,-600Shares,34.7,-20820,-600Shares,-,-960,27.07,Filled,2023-03-10 09:30:00
2023-03-10,09:30:00,Stock,中国电信(601728.XSHG),Sell,Market_Order,-2100Shares,6.68,-14028,-2100Shares,-,2625,19.03,Filled,2023-03-10 09:30:00
2023-03-10,09:30:00,Stock,中国移动(600941.XSHG),Buy,Market_Order,200Shares,89.73,17946,200Shares,-,0,5.38,Filled,2023-03-10 09:30:00
2023-03-10,09:30:00,Stock,陕西煤业(601225.XSHG),Buy,Market_Order,1100Shares,19.75,21725,1100Shares,-,0,6.52,Filled,2023-03-10 09:30:00
2023-03-10,09:30:00,Stock,大华Shares份(002236.XSHE),Buy,Market_Order,1400Shares,15.51,21714,1400Shares,-,0,6.51,Filled,2023-03-10 09:30:00
2023-03-10,09:30:00,Stock,中国神华(601088.XSHG),Buy,Market_Order,800Shares,28.46,22768,800Shares,-,0,6.83,Filled,2023-03-10 09:30:00
2023-03-20,09:30:00,Stock,大华Shares份(002236.XSHE),Sell,Market_Order,-700Shares,19.73,-13811,-700Shares,-,2954,18.81,Filled,2023-03-20 09:30:00
2023-03-21,09:30:00,Stock,大华Shares份(002236.XSHE),Sell,Market_Order,-300Shares,19.11,-5733,-300Shares,-,1080,10.73,Filled,2023-03-21 09:30:00
2023-03-22,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-500Shares,18.7,-9350,-500Shares,-,-525,14.35,Filled,2023-03-22 09:30:00
2023-03-22,09:30:00,Stock,大华Shares份(002236.XSHE),Sell,Market_Order,-200Shares,19.28,-3856,-200Shares,-,754,8.86,Filled,2023-03-22 09:30:00
2023-03-23,09:30:00,Stock,大华Shares份(002236.XSHE),Sell,Market_Order,-100Shares,19.96,-1996,-100Shares,-,445,7,Filled,2023-03-23 09:30:00
2023-03-24,09:30:00,Stock,大华Shares份(002236.XSHE),Sell,Market_Order,-100Shares,21.3,-2130,-100Shares,-,579,7.13,Filled,2023-03-24 09:30:00
2023-03-24,09:30:00,Stock,宝丰能源(600989.XSHG),Sell,Market_Order,-1400Shares,14.98,-20972,-1400Shares,-,-714,27.26,Filled,2023-03-24 09:30:00
2023-03-24,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-600Shares,19.36,-11616,-600Shares,-,-234,16.62,Filled,2023-03-24 09:30:00
2023-03-24,09:30:00,Stock,三七互娱(002555.XSHE),Buy,Market_Order,900Shares,26.5,23850,900Shares,-,0,7.15,Filled,2023-03-24 09:30:00
2023-03-24,09:30:00,Stock,上港集团(600018.XSHG),Buy,Market_Order,4300Shares,5.61,24123,4300Shares,-,0,7.24,Filled,2023-03-24 09:30:00
2023-04-10,09:30:00,Stock,中国移动(600941.XSHG),Sell,Market_Order,-200Shares,96.54,-19308,-200Shares,-,1362,25.1,Filled,2023-04-10 09:30:00
2023-04-10,09:30:00,Stock,中国神华(601088.XSHG),Sell,Market_Order,-800Shares,27.6,-22080,-800Shares,-,-688,28.7,Filled,2023-04-10 09:30:00
2023-04-10,09:30:00,Stock,上港集团(600018.XSHG),Sell,Market_Order,-4300Shares,5.48,-23564,-4300Shares,-,-559,30.63,Filled,2023-04-10 09:30:00
2023-04-10,09:30:00,Stock,川投能源(600674.XSHG),Buy,Market_Order,1800Shares,13.63,24534,1800Shares,-,0,7.36,Filled,2023-04-10 09:30:00
2023-04-10,09:30:00,Stock,中国石油(601857.XSHG),Buy,Market_Order,4000Shares,6.16,24640,4000Shares,-,0,7.39,Filled,2023-04-10 09:30:00
2023-04-10,09:30:00,Stock,凯莱英(002821.XSHE),Buy,Market_Order,100Shares,144.63,14463,100Shares,-,0,5,Filled,2023-04-10 09:30:00
2023-04-10,09:30:00,Stock,金域医学(603882.XSHG),Buy,Market_Order,200Shares,88.77,17754,200Shares,-,0,5.33,Filled,2023-04-10 09:30:00
2023-04-10,09:30:00,Stock,三七互娱(002555.XSHE),Sell,Market_Order,-100Shares,30.9,-3090,-100Shares,-,440,8.09,Filled,2023-04-10 09:30:00
2023-04-24,09:30:00,Stock,中国石油(601857.XSHG),Sell,Market_Order,-4000Shares,7.29,-29160,-4000Shares,-,4520,37.91,Filled,2023-04-24 09:30:00
2023-04-24,09:30:00,Stock,凯莱英(002821.XSHE),Sell,Market_Order,-100Shares,139.91,-13991,-100Shares,-,-472,18.99,Filled,2023-04-24 09:30:00
2023-04-24,09:30:00,Stock,金域医学(603882.XSHG),Sell,Market_Order,-200Shares,87.87,-17574,-200Shares,-,-180,22.85,Filled,2023-04-24 09:30:00
2023-04-24,09:30:00,Stock,永兴材料(002756.XSHE),Buy,Market_Order,300Shares,63.92,19176,300Shares,-,0,5.75,Filled,2023-04-24 09:30:00
2023-04-24,09:30:00,Stock,中国神华(601088.XSHG),Buy,Market_Order,800Shares,29.07,23256,800Shares,-,0,6.98,Filled,2023-04-24 09:30:00
2023-04-24,09:30:00,Stock,中国移动(600941.XSHG),Buy,Market_Order,200Shares,100.3,20060,200Shares,-,0,6.02,Filled,2023-04-24 09:30:00
2023-04-24,09:30:00,Stock,三七互娱(002555.XSHE),Buy,Market_Order,100Shares,27.01,2701,100Shares,-,0,5,Filled,2023-04-24 09:30:00
