"Date","AssetType","Security","Side","Quantity","AvailableQuantity","CloseOrSettlementPrice","MarketValue","UnrealizedPnL","AverageOpenPrice","AverageHoldingPriceFutures","Margin","DailyPnL","TodayQuantity","PnLRatio","PositionRatio"
"2011-05-30","Equity","002056.XSHE","Long","200 shares","0 shares","25.81","5162","-38","26","-","0","-38","200 shares","-0.73%","119788.73"
"2011-05-30","","Cash","","","","","2416.73","","","","","","","","0"
"2011-05-31","Equity","002049.XSHE","Long","2800 shares","2800 shares","20.76","58128","980","20.41","-","0","728","0 shares","1.71%","120686.73"
"2011-05-31","Equity","002236.XSHE","Long","700 shares","700 shares","78.4","54880","1393","76.41","-","0","70","0 shares","2.6%","120686.73"
"2011-05-31","Equity","002056.XSHE","Long","200 shares","200 shares","26.31","5262","62","26","-","0","100","0 shares","1.19%","120686.73"
"2011-05-31","","Cash","","","","","2416.73","","","","","","","","0"
"2011-06-01","Equity","002049.XSHE","Long","2800 shares","2800 shares","20.91","58548","1400","20.41","-","0","420","0 shares","2.45%","122786.73"
"2011-06-01","Equity","002236.XSHE","Long","700 shares","700 shares","80.66","56462","2975","76.41","-","0","1582","0 shares","5.56%","122786.73"
"2011-06-01","Equity","002056.XSHE","Long","200 shares","200 shares","26.8","5360","160","26","-","0","98","0 shares","3.08%","122786.73"
"2011-06-01","","Cash","","","","","2416.73","","","","","","","","0"
"2011-06-02","Equity","002049.XSHE","Long","2800 shares","2800 shares","20.32","56896","-252","20.41","-","0","-1652","0 shares","-0.44%","122508.73"
"2011-06-02","Equity","002236.XSHE","Long","700 shares","700 shares","82.6","57820","4333","76.41","-","0","1358","0 shares","8.1%","122508.73"
"2011-06-02","Equity","002056.XSHE","Long","200 shares","200 shares","26.88","5376","176","26","-","0","16","0 shares","3.38%","122508.73"
"2011-06-02","","Cash","","","","","2416.73","","","","","","","","0"
"2011-06-03","Equity","002049.XSHE","Long","2800 shares","2800 shares","20.71","57988","840","20.41","-","0","1092","0 shares","1.47%","123207.32"
"2011-06-03","Equity","002236.XSHE","Long","700 shares","700 shares","82.01","57407","3920","76.41","-","0","-413","0 shares","7.33%","123207.32"
"2011-06-03","","Cash","","","","","7812.32","","","","","","","","0"
"2011-06-07","Equity","002236.XSHE","Long","700 shares","700 shares","82.36","57652","4165","76.41","-","0","245","0 shares","7.79%","124187.88"
"2011-06-07","","Cash","","","","","66535.88","","","","","","","","0"
"2011-06-08","","Cash","","","","","124211.17","","","","","","","","0"
"2011-06-09","","Cash","","","","","124211.17","","","","","","","","0"
"2011-06-10","","Cash","","","","","124211.17","","","","","","","","0"
"2011-06-13","","Cash","","","","","124211.17","","","","","","","","0"
"2011-06-14","","Cash","","","","","124211.17","","","","","","","","0"
"2011-06-15","","Cash","","","","","124211.17","","","","","","","","0"
"2011-06-16","","Cash","","","","","124211.17","","","","","","","","0"
"2011-06-17","","Cash","","","","","124211.17","","","","","","","","0"
"2011-06-20","","Cash","","","","","124211.17","","","","","","","","0"
"2011-06-21","Equity","002555.XSHE","Long","4900 shares","0 shares","12.7","62230","882","12.52","-","0","882","4900 shares","1.44%","126036.25"
"2011-06-21","Equity","002335.XSHE","Long","3500 shares","0 shares","17.92","62720","980","17.64","-","0","980","3500 shares","1.59%","126036.25"
"2011-06-21","","Cash","","","","","1086.25","","","","","","","","0"
"2011-06-22","Equity","002555.XSHE","Long","4900 shares","4900 shares","12.75","62475","1127","12.52","-","0","245","0 shares","1.84%","126386.25"
"2011-06-22","Equity","002335.XSHE","Long","3500 shares","3500 shares","17.95","62825","1085","17.64","-","0","105","0 shares","1.76%","126386.25"
"2011-06-22","","Cash","","","","","1086.25","","","","","","","","0"
"2011-06-23","Equity","002555.XSHE","Long","4900 shares","4900 shares","13.3","65170","3822","12.52","-","0","2695","0 shares","6.23%","130936.25"
"2011-06-23","Equity","002335.XSHE","Long","3500 shares","3500 shares","18.48","64680","2940","17.64","-","0","1855","0 shares","4.76%","130936.25"
