Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2018-10-12,11:25:00,Stock,科沃斯(603486.XSHG),Sell,Market_Order,-700Shares,36.18,-25326,-700Shares,-,-3934,32.92,Filled,2018-10-12 11:25:00
2018-10-15,09:30:00,Stock,三夫户外(002780.XSHE),Buy,Market_Order,500Shares,12.34,6170,500Shares,-,0,5,Filled,2018-10-15 09:30:00
2018-10-15,09:30:00,Stock,中国化学(601117.XSHG),Buy,Market_Order,1100Shares,5.84,6424,1100Shares,-,0,5,Filled,2018-10-15 09:30:00
2018-10-15,09:30:00,Stock,欣旺达(300207.XSHE),Buy,Market_Order,800Shares,7.4,5920,800Shares,-,0,5,Filled,2018-10-15 09:30:00
2018-10-15,09:30:00,Stock,中国铝业(601600.XSHG),Buy,Market_Order,1700Shares,3.67,6239,1700Shares,-,0,5,Filled,2018-10-15 09:30:00
2018-10-16,11:25:00,Stock,欣旺达(300207.XSHE),Sell,Market_Order,-800Shares,6.96,-5568,-800Shares,-,-352,10.57,Filled,2018-10-16 11:25:00
2018-10-16,11:25:00,Stock,中国铝业(601600.XSHG),Sell,Market_Order,-1700Shares,3.53,-6001,-1700Shares,-,-238,11,Filled,2018-10-16 11:25:00
2018-10-16,14:50:00,Stock,三夫户外(002780.XSHE),Sell,Market_Order,-500Shares,11.72,-5860,-500Shares,-,-310,10.86,Filled,2018-10-16 14:50:00
2018-10-17,09:30:00,Stock,紫光国微(002049.XSHE),Buy,Market_Order,200Shares,30.73,6146,200Shares,-,0,5,Filled,2018-10-17 09:30:00
2018-10-17,09:30:00,Stock,数据港(603881.XSHG),Buy,Market_Order,200Shares,23.77,4754,200Shares,-,0,5,Filled,2018-10-17 09:30:00
2018-10-17,09:30:00,Stock,欣旺达(300207.XSHE),Buy,Market_Order,800Shares,7.2,5760,800Shares,-,0,5,Filled,2018-10-17 09:30:00
2018-10-18,11:25:00,Stock,中国化学(601117.XSHG),Sell,Market_Order,-1100Shares,5.58,-6138,-1100Shares,-,-286,11.14,Filled,2018-10-18 11:25:00
2018-10-18,14:50:00,Stock,中航沈飞(600760.XSHG),Sell,Market_Order,-2500Shares,33.85,-84625,-2500Shares,-,-3050,110.01,Filled,2018-10-18 14:50:00
2018-10-19,11:25:00,Stock,欣旺达(300207.XSHE),Sell,Market_Order,-800Shares,7.47,-5976,-800Shares,-,216,10.98,Filled,2018-10-19 11:25:00
2018-10-22,09:30:00,Stock,新奥股份(600803.XSHG),Buy,Market_Order,8200Shares,11.9,97580,8200Shares,-,0,29.27,Filled,2018-10-22 09:30:00
2018-10-25,09:30:00,Stock,华能国际(600011.XSHG),Buy,Market_Order,100Shares,6,600,100Shares,-,0,5,Filled,2018-10-25 09:30:00
2018-10-25,11:25:00,Stock,数据港(603881.XSHG),Sell,Market_Order,-200Shares,22.1,-4420,-200Shares,-,-334,9.42,Filled,2018-10-25 11:25:00
2018-10-29,11:25:00,Stock,新奥股份(600803.XSHG),Sell,Market_Order,-8200Shares,11.43,-93726,-8200Shares,-,-3854,121.84,Filled,2018-10-29 11:25:00
2018-10-30,09:30:00,Stock,数据港(603881.XSHG),Buy,Market_Order,2200Shares,21.77,47894,2200Shares,-,0,14.37,Filled,2018-10-30 09:30:00
2018-10-30,09:30:00,Stock,华友钴业(603799.XSHG),Buy,Market_Order,1500Shares,31.53,47295,1500Shares,-,0,14.19,Filled,2018-10-30 09:30:00
2018-10-30,11:25:00,Stock,紫光国微(002049.XSHE),Sell,Market_Order,-200Shares,29.73,-5946,-200Shares,-,-200,10.95,Filled,2018-10-30 11:25:00
2018-10-31,09:30:00,Stock,新奥股份(600803.XSHG),Buy,Market_Order,400Shares,10.75,4300,400Shares,-,0,5,Filled,2018-10-31 09:30:00
2018-11-01,11:25:00,Stock,华友钴业(603799.XSHG),Sell,Market_Order,-1500Shares,34.21,-51315,-1500Shares,-,4020,66.71,Filled,2018-11-01 11:25:00
2018-11-07,14:50:00,Stock,数据港(603881.XSHG),Sell,Market_Order,-2200Shares,25.19,-55418,-2200Shares,-,7524,72.04,Filled,2018-11-07 14:50:00
2018-11-12,14:50:00,Stock,华能国际(600011.XSHG),Sell,Market_Order,-100Shares,6.94,-694,-100Shares,-,94,5.69,Filled,2018-11-12 14:50:00
2018-11-16,11:25:00,Stock,新奥股份(600803.XSHG),Sell,Market_Order,-400Shares,11.89,-4756,-400Shares,-,456,9.76,Filled,2018-11-16 11:25:00
2018-11-27,09:30:00,Stock,和而泰(002402.XSHE),Buy,Market_Order,5900Shares,6.58,38822,5900Shares,-,0,11.65,Filled,2018-11-27 09:30:00
2018-11-27,09:30:00,Stock,领益智造(002600.XSHE),Buy,Market_Order,13400Shares,2.89,38726,13400Shares,-,0,11.62,Filled,2018-11-27 09:30:00
2018-11-27,09:30:00,Stock,三七互娱(002555.XSHE),Buy,Market_Order,3300Shares,11.54,38082,3300Shares,-,0,11.42,Filled,2018-11-27 09:30:00
2018-12-07,11:25:00,Stock,领益智造(002600.XSHE),Sell,Market_Order,-13400Shares,2.8,-37520,-13400Shares,-,-1206,48.78,Filled,2018-12-07 11:25:00
2018-12-17,14:50:00,Stock,和而泰(002402.XSHE),Sell,Market_Order,-5900Shares,6.21,-36639,-5900Shares,-,-2183,47.63,Filled,2018-12-17 14:50:00
2018-12-19,11:25:00,Stock,三七互娱(002555.XSHE),Sell,Market_Order,-3300Shares,10.98,-36234,-3300Shares,-,-1848,47.1,Filled,2018-12-19 11:25:00
2018-12-20,09:30:00,Stock,新奥股份(600803.XSHG),Buy,Market_Order,11100Shares,10.04,111444,11100Shares,-,0,33.43,Filled,2018-12-20 09:30:00
