cumulative_contribution,rank
5.834785104994599,591
5.834785104994599,592
5.834785104994599,593
5.834785104994599,594
5.834785104994599,595
5.834785104994599,596
5.834785104994599,597
5.834785104994599,598
5.834785104994599,599
5.834785104994599,600
5.834785104994599,601
5.834785104994599,602
5.834785104994599,603
5.834785104994599,604
5.834785104994599,605
5.834785104994599,606
5.834785104994599,607
5.834785104994599,608
5.834785104994599,609
5.834785104994599,610
5.834785104994599,611
5.834785104994599,612
5.834785104994599,613
5.834785104994599,614
5.834785104994599,615
5.834785104994599,616
5.834785104994599,617
5.834785104994599,618
5.834785104994599,619
5.834785104994599,620
5.834785104994599,621
5.834785104994599,622
5.834785104994599,623
5.834785104994599,624
5.834785104994599,625
5.834785104994599,626
5.834785104994599,627
5.834785104994599,628
5.834785104994599,629
5.834785104994599,630
5.834785104994599,631
5.834785104994599,632
5.834785104994599,633
5.834785104994599,634
5.834785104994599,635
5.834785104994599,636
5.834785104994599,637
5.834785104994599,638
5.834785104994599,639
5.834785104994599,640
5.834785104994599,641
5.834785104994599,642
5.834785104994599,643
5.834785104994599,644
5.834785104994599,645
5.834785104994599,646
5.834785104994599,647
5.834785104994599,648
5.834785104994599,649
5.834785104994599,650
5.834785104994599,651
5.834785104994599,652
5.834785104994599,653
5.834785104994599,654
5.834785104994599,655
5.834785104994599,656
5.834785104994599,657
5.834785104994599,658
5.834785104994599,659
5.834785104994599,660
5.834785104994599,661
5.834785104994599,662
5.834785104994599,663
5.834785104994599,664
5.834785104994599,665
5.834785104994599,666
5.834785104994599,667
5.834785104994599,668
5.834785104994599,669
5.834785104994599,670
5.834785104994599,671
5.834785104994599,672
5.834785104994599,673
5.834785104994599,674
5.834785104994599,675
5.834785104994599,676
5.834785104994599,677
5.834785104994599,678
5.834785104994599,679
5.834785104994599,680
5.834785104994599,681
5.834785104994599,682
5.834785104994599,683
5.834785104994599,684
5.834785104994599,685
5.834785104994599,686
5.834785104994599,687
5.834785104994599,688
5.834785104994599,689
5.834785104994599,690
5.834785104994599,691
5.834785104994599,692
5.834785104994599,693
5.834785104994599,694
5.834785104994599,695
5.834785104994599,696
5.834785104994599,697
5.834785104994599,698
5.834785104994599,699
5.834785104994599,700
5.834785104994599,701
5.834785104994599,702
5.834785104994599,703
5.834785104994599,704
5.834785104994599,705
5.834785104994599,706
5.834785104994599,707
5.834785104994599,708
5.834785104994599,709
5.834785104994599,710
5.834785104994599,711
5.834785104994599,712
5.834785104994599,713
5.834785104994599,714
5.834785104994599,715
5.834785104994599,716
5.834785104994599,717
5.834785104994599,718
5.834785104994599,719
5.834785104994599,720
5.834785104994599,721
5.834785104994599,722
5.834785104994599,723
5.834785104994599,724
5.834785104994599,725
5.834785104994599,726
5.834785104994599,727
5.834785104994599,728
5.834785104994599,729
5.834785104994599,730
5.834785104994599,731
5.834785104994599,732
5.834785104994599,733
5.834785104994599,734
5.834785104994599,735
5.834785104994599,736
5.834785104994599,737
5.834785104994599,738
5.834785104994599,739
5.834785104994599,740
5.834785104994599,741
5.834785104994599,742
5.834785104994599,743
5.834785104994599,744
5.834785104994599,745
5.834785104994599,746
5.834785104994599,747
5.834785104994599,748
5.834785104994599,749
5.834785104994599,750
5.834785104994599,751
5.834785104994599,752
5.834785104994599,753
5.834785104994599,754
5.834785104994599,755
5.834785104994599,756
5.834785104994599,757
5.834785104994599,758
5.834785104994599,759
5.834785104994599,760
5.834785104994599,761
5.834785104994599,762
5.834785104994599,763
5.834785104994599,764
5.834785104994599,765
5.834785104994599,766
5.834785104994599,767
5.834785104994599,768
5.834785104994599,769
5.834785104994599,770
5.834785104994599,771
