,total_contribution,avg_weight,turnover
242,0.0,0.0,0.0
245,0.0,0.0,0.0
256,0.0,0.0,0.0
257,0.0,0.0,0.0
267,0.0,0.0,0.0
268,0.0,0.0,0.0
270,0.0,0.0,0.0
279,0.0,0.0,0.0
285,0.0,0.0,0.0
288,0.0,0.0,0.0
290,0.0,0.0,0.0
291,0.0,0.0,0.0
293,0.0,0.0,0.0
390,0.0,0.0,0.0
392,0.0,0.0,0.0
400,0.0,0.0,0.0
299,0.0,0.0,0.0
300,0.0,0.0,0.0
302,0.0,0.0,0.0
303,0.0,0.0,0.0
308,0.0,0.0,0.0
314,0.0,0.0,0.0
315,0.0,0.0,0.0
316,0.0,0.0,0.0
317,0.0,0.0,0.0
322,0.0,0.0,0.0
323,0.0,0.0,0.0
325,0.0,0.0,0.0
470,0.0,0.0,0.0
480,0.0,0.0,0.0
488,0.0,0.0,0.0
493,0.0,0.0,0.0
341,0.0,0.0,0.0
345,0.0,0.0,0.0
347,0.0,0.0,0.0
354,0.0,0.0,0.0
358,0.0,0.0,0.0
363,0.0,0.0,0.0
368,0.0,0.0,0.0
384,0.0,0.0,0.0
386,0.0,0.0,0.0
388,0.0,0.0,0.0
522,0.0,0.0,0.0
525,0.0,0.0,0.0
547,0.0,0.0,0.0
548,0.0,0.0,0.0
551,0.0,0.0,0.0
552,0.0,0.0,0.0
410,0.0,0.0,0.0
412,0.0,0.0,0.0
419,0.0,0.0,0.0
425,0.0,0.0,0.0
432,0.0,0.0,0.0
439,0.0,0.0,0.0
440,0.0,0.0,0.0
460,0.0,0.0,0.0
570,0.0,0.0,0.0
576,0.0,0.0,0.0
582,0.0,0.0,0.0
586,0.0,0.0,0.0
587,0.0,0.0,0.0
588,0.0,0.0,0.0
590,0.0,0.0,0.0
496,0.0,0.0,0.0
501,0.0,0.0,0.0
506,0.0,0.0,0.0
508,0.0,0.0,0.0
511,0.0,0.0,0.0
512,0.0,0.0,0.0
636,0.0,0.0,0.0
638,0.0,0.0,0.0
650,0.0,0.0,0.0
656,0.0,0.0,0.0
659,0.0,0.0,0.0
666,0.0,0.0,0.0
667,0.0,0.0,0.0
669,0.0,0.0,0.0
670,0.0,0.0,0.0
683,0.0,0.0,0.0
553,0.0,0.0,0.0
558,0.0,0.0,0.0
563,0.0,0.0,0.0
564,0.0,0.0,0.0
568,0.0,0.0,0.0
688,0.0,0.0,0.0
691,0.0,0.0,0.0
694,0.0,0.0,0.0
696,0.0,0.0,0.0
698,0.0,0.0,0.0
699,0.0,0.0,0.0
700,0.0,0.0,0.0
710,0.0,0.0,0.0
718,0.0,0.0,0.0
719,0.0,0.0,0.0
721,0.0,0.0,0.0
606,0.0,0.0,0.0
612,0.0,0.0,0.0
737,0.0,0.0,0.0
743,0.0,0.0,0.0
751,0.0,0.0,0.0
753,0.0,0.0,0.0
754,0.0,0.0,0.0
762,0.0,0.0,0.0
763,0.0,0.0,0.0
772,0.0,0.0,0.0
777,0.0,0.0,0.0
780,0.0,0.0,0.0
788,0.0,0.0,0.0
799,0.0,0.0,0.0
806,0.0,0.0,0.0
811,0.0,0.0,0.0
686,0.0,0.0,0.0
687,0.0,0.0,0.0
860,0.0,0.0,0.0
9690,0.0,0.0,0.0
9696,0.0,0.0,0.0
9699,0.0,0.0,0.0
9857,0.0,0.0,0.0
9858,0.0,0.0,0.0
9860,0.0,0.0,0.0
9863,0.0,0.0,0.0
9868,0.0,0.0,0.0
9877,0.0,0.0,0.0
9878,0.0,0.0,0.0
9880,0.0,0.0,0.0
9885,0.0,0.0,0.0
9887,0.0,0.0,0.0
9890,0.0,0.0,0.0
917,0.0,0.0,0.0
813,0.0,0.0,0.0
816,0.0,0.0,0.0
817,0.0,0.0,0.0
819,0.0,0.0,0.0
826,0.0,0.0,0.0
829,0.0,0.0,0.0
832,0.0,0.0,0.0
836,0.0,0.0,0.0
839,0.0,0.0,0.0
845,0.0,0.0,0.0
846,0.0,0.0,0.0
853,0.0,0.0,0.0
855,0.0,0.0,0.0
856,0.0,0.0,0.0
981,0.0,0.0,0.0
861,0.0,0.0,0.0
867,0.0,0.0,0.0
868,0.0,0.0,0.0
873,0.0,0.0,0.0
874,0.0,0.0,0.0
880,0.0,0.0,0.0
881,0.0,0.0,0.0
883,0.0,0.0,0.0
884,0.0,0.0,0.0
895,0.0,0.0,0.0
902,0.0,0.0,0.0
909,0.0,0.0,0.0
911,0.0,0.0,0.0
914,0.0,0.0,0.0
916,0.0,0.0,0.0
1052,0.0,0.0,0.0
1055,0.0,0.0,0.0
921,0.0,0.0,0.0
931,0.0,0.0,0.0
934,0.0,0.0,0.0
939,0.0,0.0,0.0
941,0.0,0.0,0.0
950,0.0,0.0,0.0
951,0.0,0.0,0.0
960,0.0,0.0,0.0
966,0.0,0.0,0.0
975,0.0,0.0,0.0
976,0.0,0.0,0.0
1097,0.0,0.0,0.0
1098,0.0,0.0,0.0
1099,0.0,0.0,0.0
1108,0.0,0.0,0.0
989,0.0,0.0,0.0
995,0.0,0.0,0.0
998,0.0,0.0,0.0
999,0.0,0.0,0.0
1024,0.0,0.0,0.0
1028,0.0,0.0,0.0
1030,0.0,0.0,0.0
1038,0.0,0.0,0.0
1044,0.0,0.0,0.0
1121,0.0,0.0,0.0
1128,0.0,0.0,0.0
1138,0.0,0.0,0.0
1140,0.0,0.0,0.0
1164,0.0,0.0,0.0
1165,0.0,0.0,0.0
1057,0.0,0.0,0.0
1065,0.0,0.0,0.0
1066,0.0,0.0,0.0
1070,0.0,0.0,0.0
1072,0.0,0.0,0.0
1083,0.0,0.0,0.0
1088,0.0,0.0,0.0
1093,0.0,0.0,0.0
1193,0.0,0.0,0.0
1196,0.0,0.0,0.0
1199,0.0,0.0,0.0
1205,0.0,0.0,0.0
1208,0.0,0.0,0.0
1209,0.0,0.0,0.0
1211,0.0,0.0,0.0
1233,0.0,0.0,0.0
1234,0.0,0.0,0.0
1238,0.0,0.0,0.0
1109,0.0,0.0,0.0
1112,0.0,0.0,0.0
1113,0.0,0.0,0.0
1115,0.0,0.0,0.0
1268,0.0,0.0,0.0
1269,0.0,0.0,0.0
1270,0.0,0.0,0.0
1274,0.0,0.0,0.0
1276,0.0,0.0,0.0
1282,0.0,0.0,0.0
1286,0.0,0.0,0.0
1293,0.0,0.0,0.0
1299,0.0,0.0,0.0
1167,0.0,0.0,0.0
1171,0.0,0.0,0.0
1176,0.0,0.0,0.0
1177,0.0,0.0,0.0
1186,0.0,0.0,0.0
1188,0.0,0.0,0.0
1313,0.0,0.0,0.0
1315,0.0,0.0,0.0
1316,0.0,0.0,0.0
1317,0.0,0.0,0.0
1318,0.0,0.0,0.0
1330,0.0,0.0,0.0
1336,0.0,0.0,0.0
1339,0.0,0.0,0.0
1341,0.0,0.0,0.0
1347,0.0,0.0,0.0
1349,0.0,0.0,0.0
1244,0.0,0.0,0.0
1250,0.0,0.0,0.0
1253,0.0,0.0,0.0
1257,0.0,0.0,0.0
1364,0.0,0.0,0.0
1375,0.0,0.0,0.0
1378,0.0,0.0,0.0
1384,0.0,0.0,0.0
1385,0.0,0.0,0.0
1398,0.0,0.0,0.0
1405,0.0,0.0,0.0
1432,0.0,0.0,0.0
1448,0.0,0.0,0.0
1302,0.0,0.0,0.0
1304,0.0,0.0,0.0
1308,0.0,0.0,0.0
1310,0.0,0.0,0.0
7618,0.0,0.0,0.0
8328,0.0,0.0,0.0
9606,0.0,0.0,0.0
9611,0.0,0.0,0.0
