日Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2018-03-22,09:30:00,Stock,中国石化(600028.XSHG),Sell,Market_Order,-700Shares,6.92,-4844,-700Shares,-,252,9.84,Filled,2018-03-22 09:30:00
2018-03-22,09:30:00,Stock,中文传媒(600373.XSHG),Sell,Market_Order,-200Shares,15.89,-3178,-200Shares,-,12,8.18,Filled,2018-03-22 09:30:00
2018-03-26,09:30:00,Stock,步长制药(603858.XSHG),Sell,Market_Order,-100Shares,48.65,-4865,-100Shares,-,-310,9.86,Filled,2018-03-26 09:30:00
2018-03-26,09:30:00,Stock,中文传媒(600373.XSHG),Sell,Market_Order,-100Shares,14.93,-1493,-100Shares,-,-90,6.49,Filled,2018-03-26 09:30:00
2018-04-03,09:30:00,Stock,步长制药(603858.XSHG),Sell,Market_Order,-100Shares,51.59,-5159,-100Shares,-,-16,10.16,Filled,2018-04-03 09:30:00
2018-04-03,09:30:00,Stock,中国石化(600028.XSHG),Sell,Market_Order,-300Shares,6.36,-1908,-300Shares,-,-60,6.91,Filled,2018-04-03 09:30:00
2018-04-03,09:30:00,Stock,中文传媒(600373.XSHG),Sell,Market_Order,-100Shares,15.65,-1565,-100Shares,-,-18,6.56,Filled,2018-04-03 09:30:00
2018-04-03,09:30:00,Stock,吉林敖东(000623.XSHE),Sell,Market_Order,-300Shares,20.59,-6177,-300Shares,-,27,11.18,Filled,2018-04-03 09:30:00
2018-04-03,09:30:00,Stock,海螺水泥(600585.XSHG),Buy,Market_Order,600Shares,32,19200,600Shares,-,0,5.76,Filled,2018-04-03 09:30:00
2018-04-03,09:30:00,Stock,白云山(600332.XSHG),Buy,Market_Order,400Shares,29.33,11732,400Shares,-,0,5,Filled,2018-04-03 09:30:00
2018-04-03,09:30:00,Stock,东方明珠(600637.XSHG),Buy,Market_Order,1200Shares,16.71,20052,1200Shares,-,0,6.02,Filled,2018-04-03 09:30:00
2018-04-03,09:30:00,Stock,正泰电器(601877.XSHG),Buy,Market_Order,800Shares,25.62,20496,800Shares,-,0,6.15,Filled,2018-04-03 09:30:00
2018-04-03,09:30:00,Stock,碧水源(300070.XSHE),Buy,Market_Order,1200Shares,17.96,21552,1200Shares,-,0,6.47,Filled,2018-04-03 09:30:00
2018-04-09,09:30:00,Stock,白云山(600332.XSHG),Sell,Market_Order,-400Shares,29.39,-11756,-400Shares,-,291.43,16.76,Filled,2018-04-09 09:30:00
2018-04-09,09:30:00,Stock,海螺水泥(600585.XSHG),Sell,Market_Order,-400Shares,33.1,-13240,-400Shares,-,440,18.24,Filled,2018-04-09 09:30:00
2018-04-09,09:30:00,Stock,东方明珠(600637.XSHG),Sell,Market_Order,-800Shares,17.28,-13824,-800Shares,-,456,18.82,Filled,2018-04-09 09:30:00
2018-04-09,09:30:00,Stock,正泰电器(601877.XSHG),Sell,Market_Order,-500Shares,26,-13000,-500Shares,-,190,18,Filled,2018-04-09 09:30:00
2018-04-09,09:30:00,Stock,碧水源(300070.XSHE),Sell,Market_Order,-800Shares,17.85,-14280,-800Shares,-,-88,19.28,Filled,2018-04-09 09:30:00
2018-04-10,09:30:00,Stock,东方明珠(600637.XSHG),Sell,Market_Order,-200Shares,17.28,-3456,-200Shares,-,114,8.46,Filled,2018-04-10 09:30:00
2018-04-10,09:30:00,Stock,碧水源(300070.XSHE),Sell,Market_Order,-200Shares,17.81,-3562,-200Shares,-,-30,8.56,Filled,2018-04-10 09:30:00
2018-04-23,09:30:00,Stock,碧水源(300070.XSHE),Sell,Market_Order,-100Shares,16.83,-1683,-100Shares,-,-113,6.68,Filled,2018-04-23 09:30:00
2018-04-27,09:30:00,Stock,白云山(600332.XSHG),Sell,Market_Order,-100Shares,35.2,-3520,-100Shares,-,653.86,8.52,Filled,2018-04-27 09:30:00
2018-05-02,09:30:00,Stock,白云山(600332.XSHG),Sell,Market_Order,-100Shares,35.5,-3550,-100Shares,-,683.86,8.55,Filled,2018-05-02 09:30:00
2018-05-03,09:30:00,Stock,白云山(600332.XSHG),Sell,Market_Order,-100Shares,37.3,-3730,-100Shares,-,863.86,8.73,Filled,2018-05-03 09:30:00
2018-05-07,09:30:00,Stock,东方明珠(600637.XSHG),Sell,Market_Order,-200Shares,17.18,-3436,-200Shares,-,94,8.44,Filled,2018-05-07 09:30:00
2018-05-07,09:30:00,Stock,正泰电器(601877.XSHG),Sell,Market_Order,-300Shares,29.22,-8766,-300Shares,-,1080,13.77,Filled,2018-05-07 09:30:00
2018-05-07,09:30:00,Stock,碧水源(300070.XSHE),Sell,Market_Order,-100Shares,18.8,-1880,-100Shares,-,84,6.88,Filled,2018-05-07 09:30:00
2018-05-07,09:30:00,Stock,洋河Shares份(002304.XSHE),Buy,Market_Order,100Shares,124.16,12416,100Shares,-,0,5,Filled,2018-05-07 09:30:00
2018-05-07,09:30:00,Stock,海螺水泥(600585.XSHG),Buy,Market_Order,400Shares,35.1,14040,400Shares,-,0,5,Filled,2018-05-07 09:30:00
2018-05-07,09:30:00,Stock,陕西煤业(601225.XSHG),Buy,Market_Order,2800Shares,7.93,22204,2800Shares,-,0,6.66,Filled,2018-05-07 09:30:00
2018-05-07,09:30:00,Stock,大秦铁路(601006.XSHG),Buy,Market_Order,2500Shares,8.77,21925,2500Shares,-,0,6.58,Filled,2018-05-07 09:30:00
2018-05-07,09:30:00,Stock,云南白药(000538.XSHE),Buy,Market_Order,200Shares,99.25,19850,200Shares,-,0,5.95,Filled,2018-05-07 09:30:00
2018-05-18,09:30:00,Stock,龙蟒佰利(002601.XSHE),Sell,Market_Order,-0Shares,--,0,-200Shares,-,-0,0,Order_Cancelled,2018-05-18 09:30:00
2018-05-21,09:30:00,Stock,龙蟒佰利(002601.XSHE),Sell,Market_Order,-200Shares,15.85,-3170,-200Shares,-,-371.21,8.17,Filled,2018-05-21 09:30:00
2018-05-21,09:30:00,Stock,洋河Shares份(002304.XSHE),Sell,Market_Order,-100Shares,130.29,-13029,-100Shares,-,613,18.03,Filled,2018-05-21 09:30:00
2018-05-21,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-2800Shares,8.7,-24360,-2800Shares,-,2156,31.67,Filled,2018-05-21 09:30:00
2018-05-21,09:30:00,Stock,大秦铁路(601006.XSHG),Sell,Market_Order,-2500Shares,8.68,-21700,-2500Shares,-,-225,28.21,Filled,2018-05-21 09:30:00
2018-05-21,09:30:00,Stock,云南白药(000538.XSHE),Sell,Market_Order,-200Shares,112,-22400,-200Shares,-,2550,29.12,Filled,2018-05-21 09:30:00
2018-05-21,09:30:00,Stock,浙江龙盛(600352.XSHG),Buy,Market_Order,1800Shares,12.6,22680,1800Shares,-,0,6.8,Filled,2018-05-21 09:30:00
2018-05-21,09:30:00,Stock,川投能源(600674.XSHG),Buy,Market_Order,2500Shares,9.34,23350,2500Shares,-,0,7,Filled,2018-05-21 09:30:00
2018-05-21,09:30:00,Stock,中国神华(601088.XSHG),Buy,Market_Order,1000Shares,22.1,22100,1000Shares,-,0,6.63,Filled,2018-05-21 09:30:00
2018-05-21,09:30:00,Stock,中天科技(600522.XSHG),Buy,Market_Order,2300Shares,10.17,23391,2300Shares,-,0,7.02,Filled,2018-05-21 09:30:00
2018-05-24,09:30:00,Stock,中国神华(601088.XSHG),Sell,Market_Order,-1000Shares,20.27,-20270,-1000Shares,-,-1830,26.35,Filled,2018-05-24 09:30:00
2018-06-04,09:30:00,Stock,海螺水泥(600585.XSHG),Sell,Market_Order,-600Shares,34.4,-20640,-600Shares,-,200,26.83,Filled,2018-06-04 09:30:00
2018-06-04,09:30:00,Stock,中天科技(600522.XSHG),Sell,Market_Order,-2300Shares,10.05,-23115,-2300Shares,-,-276,30.05,Filled,2018-06-04 09:30:00
2018-06-04,09:30:00,Stock,东阿阿胶(000423.XSHE),Buy,Market_Order,300Shares,59.39,17817,300Shares,-,0,5.35,Filled,2018-06-04 09:30:00
2018-06-04,09:30:00,Stock,中文传媒(600373.XSHG),Buy,Market_Order,1400Shares,15.83,22162,1400Shares,-,0,6.65,Filled,2018-06-04 09:30:00
2018-06-11,09:30:00,Stock,中文传媒(600373.XSHG),Sell,Market_Order,-700Shares,14.76,-10332,-700Shares,-,-749,15.33,Filled,2018-06-11 09:30:00
2018-06-14,09:30:00,Stock,中文传媒(600373.XSHG),Sell,Market_Order,-300Shares,14.77,-4431,-300Shares,-,-318,9.43,Filled,2018-06-14 09:30:00
2018-06-15,09:30:00,Stock,中文传媒(600373.XSHG),Sell,Market_Order,-200Shares,15.02,-3004,-200Shares,-,-162,8,Filled,2018-06-15 09:30:00
2018-06-19,09:30:00,Stock,东阿阿胶(000423.XSHE),Sell,Market_Order,-100Shares,55.89,-5589,-100Shares,-,-350,10.59,Filled,2018-06-19 09:30:00
2018-06-19,09:30:00,Stock,中文传媒(600373.XSHG),Sell,Market_Order,-200Shares,14,-2800,-200Shares,-,-366,7.8,Filled,2018-06-19 09:30:00
2018-06-19,09:30:00,Stock,浙江龙盛(600352.XSHG),Sell,Market_Order,-1200Shares,11.92,-14304,-1200Shares,-,-516,19.3,Filled,2018-06-19 09:30:00
2018-06-19,09:30:00,Stock,川投能源(600674.XSHG),Sell,Market_Order,-1700Shares,9.35,-15895,-1700Shares,-,17,20.9,Filled,2018-06-19 09:30:00
2018-06-20,09:30:00,Stock,浙江龙盛(600352.XSHG),Sell,Market_Order,-600Shares,11.14,-6684,-600Shares,-,-726,11.68,Filled,2018-06-20 09:30:00
2018-06-20,09:30:00,Stock,东阿阿胶(000423.XSHE),Sell,Market_Order,-200Shares,55.19,-11038,-200Shares,-,-840,16.04,Filled,2018-06-20 09:30:00
2018-06-20,09:30:00,Stock,川投能源(600674.XSHG),Sell,Market_Order,-500Shares,9.06,-4530,-500Shares,-,-140,9.53,Filled,2018-06-20 09:30:00
2018-06-27,09:30:00,Stock,川投能源(600674.XSHG),Sell,Market_Order,-100Shares,8.77,-877,-100Shares,-,-57,5.88,Filled,2018-06-27 09:30:00
2018-06-28,09:30:00,Stock,川投能源(600674.XSHG),Sell,Market_Order,-100Shares,8.72,-872,-100Shares,-,-62,5.87,Filled,2018-06-28 09:30:00
2018-06-29,09:30:00,Stock,川投能源(600674.XSHG),Sell,Market_Order,-100Shares,8.63,-863,-100Shares,-,-71,5.86,Filled,2018-06-29 09:30:00
2018-07-03,09:30:00,Stock,光线传媒(300251.XSHE),Buy,Market_Order,2200Shares,9.98,21956,2200Shares,-,0,6.59,Filled,2018-07-03 09:30:00
2018-07-03,09:30:00,Stock,三一重工(600031.XSHG),Buy,Market_Order,2500Shares,8.55,21375,2500Shares,-,0,6.41,Filled,2018-07-03 09:30:00
2018-07-03,09:30:00,Stock,万华化学(600309.XSHG),Buy,Market_Order,400Shares,45.35,18140,400Shares,-,0,5.44,Filled,2018-07-03 09:30:00
2018-07-03,09:30:00,Stock,福耀玻璃(600660.XSHG),Buy,Market_Order,800Shares,24.85,19880,800Shares,-,0,5.96,Filled,2018-07-03 09:30:00
2018-07-03,09:30:00,Stock,宋城演艺(300144.XSHE),Buy,Market_Order,900Shares,23.85,21465,900Shares,-,0,6.44,Filled,2018-07-03 09:30:00
2018-07-04,09:30:00,Stock,光线传媒(300251.XSHE),Sell,Market_Order,-1500Shares,10.46,-15690,-1500Shares,-,720,20.69,Filled,2018-07-04 09:30:00
2018-07-04,09:30:00,Stock,三一重工(600031.XSHG),Sell,Market_Order,-1700Shares,8.6,-14620,-1700Shares,-,85,19.62,Filled,2018-07-04 09:30:00
2018-07-04,09:30:00,Stock,万华化学(600309.XSHG),Sell,Market_Order,-200Shares,44.69,-8938,-200Shares,-,-132,13.94,Filled,2018-07-04 09:30:00
2018-07-04,09:30:00,Stock,福耀玻璃(600660.XSHG),Sell,Market_Order,-500Shares,25.29,-12645,-500Shares,-,220,17.64,Filled,2018-07-04 09:30:00
2018-07-04,09:30:00,Stock,宋城演艺(300144.XSHE),Sell,Market_Order,-600Shares,23.01,-13806,-600Shares,-,-504,18.81,Filled,2018-07-04 09:30:00
2018-07-05,09:30:00,Stock,光线传媒(300251.XSHE),Sell,Market_Order,-400Shares,10.49,-4196,-400Shares,-,204,9.2,Filled,2018-07-05 09:30:00
2018-07-05,09:30:00,Stock,三一重工(600031.XSHG),Sell,Market_Order,-500Shares,8.14,-4070,-500Shares,-,-205,9.07,Filled,2018-07-05 09:30:00
2018-07-06,09:30:00,Stock,三一重工(600031.XSHG),Sell,Market_Order,-100Shares,8.11,-811,-100Shares,-,-44,5.81,Filled,2018-07-06 09:30:00
2018-07-06,09:30:00,Stock,宋城演艺(300144.XSHE),Sell,Market_Order,-100Shares,22.33,-2233,-100Shares,-,-152,7.23,Filled,2018-07-06 09:30:00
2018-07-09,09:30:00,Stock,三一重工(600031.XSHG),Sell,Market_Order,-100Shares,8.03,-803,-100Shares,-,-52,5.8,Filled,2018-07-09 09:30:00
2018-07-09,09:30:00,Stock,宋城演艺(300144.XSHE),Sell,Market_Order,-100Shares,22.31,-2231,-100Shares,-,-154,7.23,Filled,2018-07-09 09:30:00
2018-07-31,09:30:00,Stock,光线传媒(300251.XSHE),Sell,Market_Order,-300Shares,9.62,-2886,-300Shares,-,-108,7.89,Filled,2018-07-31 09:30:00
2018-07-31,09:30:00,Stock,三一重工(600031.XSHG),Sell,Market_Order,-100Shares,9.4,-940,-100Shares,-,85,5.94,Filled,2018-07-31 09:30:00
