日Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2018-12-14,09:30:00,Stock,北新建材(000786.XSHE),Sell,Market_Order,-300Shares,16.2,-4860,-300Shares,-,199.71,9.86,Filled,2018-12-14 09:30:00
2018-12-21,09:30:00,Stock,洋河Shares份(002304.XSHE),Sell,Market_Order,-100Shares,94.39,-9439,-100Shares,-,-694,14.44,Filled,2018-12-21 09:30:00
2018-12-24,09:30:00,Stock,北新建材(000786.XSHE),Sell,Market_Order,-100Shares,14.5,-1450,-100Shares,-,-103.43,6.45,Filled,2018-12-24 09:30:00
2018-12-24,09:30:00,Stock,五粮液(000858.XSHE),Sell,Market_Order,-100Shares,50.2,-5020,-100Shares,-,-329,10.02,Filled,2018-12-24 09:30:00
2018-12-24,09:30:00,Stock,洋河Shares份(002304.XSHE),Sell,Market_Order,-100Shares,93,-9300,-100Shares,-,-833,14.3,Filled,2018-12-24 09:30:00
2018-12-25,09:30:00,Stock,北新建材(000786.XSHE),Sell,Market_Order,-100Shares,14.38,-1438,-100Shares,-,-115.43,6.44,Filled,2018-12-25 09:30:00
2018-12-26,09:30:00,Stock,泸州老窖(000568.XSHE),Sell,Market_Order,-200Shares,40.32,-8064,-200Shares,-,-253.6,13.06,Filled,2018-12-26 09:30:00
2018-12-26,09:30:00,Stock,五粮液(000858.XSHE),Sell,Market_Order,-100Shares,50.84,-5084,-100Shares,-,-265,10.08,Filled,2018-12-26 09:30:00
2018-12-26,09:30:00,Stock,光线传媒(300251.XSHE),Buy,Market_Order,2700Shares,7.93,21411,2700Shares,-,0,6.42,Filled,2018-12-26 09:30:00
2018-12-26,09:30:00,Stock,川投能源(600674.XSHG),Buy,Market_Order,2500Shares,8.3,20750,2500Shares,-,0,6.22,Filled,2018-12-26 09:30:00
2018-12-26,09:30:00,Stock,福耀玻璃(600660.XSHG),Buy,Market_Order,900Shares,22.56,20304,900Shares,-,0,6.09,Filled,2018-12-26 09:30:00
2018-12-26,09:30:00,Stock,大秦铁路(601006.XSHG),Buy,Market_Order,2600Shares,8.09,21034,2600Shares,-,0,6.31,Filled,2018-12-26 09:30:00
2018-12-26,09:30:00,Stock,长江电力(600900.XSHG),Buy,Market_Order,1400Shares,15.28,21392,1400Shares,-,0,6.42,Filled,2018-12-26 09:30:00
2018-12-27,09:30:00,Stock,光线传媒(300251.XSHE),Sell,Market_Order,-1800Shares,8.01,-14418,-1800Shares,-,144,19.42,Filled,2018-12-27 09:30:00
2018-12-27,09:30:00,Stock,川投能源(600674.XSHG),Sell,Market_Order,-1700Shares,8.46,-14382,-1700Shares,-,272,19.38,Filled,2018-12-27 09:30:00
2018-12-27,09:30:00,Stock,福耀玻璃(600660.XSHG),Sell,Market_Order,-600Shares,23.4,-14040,-600Shares,-,504,19.04,Filled,2018-12-27 09:30:00
2018-12-27,09:30:00,Stock,大秦铁路(601006.XSHG),Sell,Market_Order,-1800Shares,8.16,-14688,-1800Shares,-,126,19.69,Filled,2018-12-27 09:30:00
2018-12-27,09:30:00,Stock,长江电力(600900.XSHG),Sell,Market_Order,-900Shares,15.45,-13905,-900Shares,-,153,18.9,Filled,2018-12-27 09:30:00
2018-12-28,09:30:00,Stock,光线传媒(300251.XSHE),Sell,Market_Order,-600Shares,7.91,-4746,-600Shares,-,-12,9.75,Filled,2018-12-28 09:30:00
2018-12-28,09:30:00,Stock,川投能源(600674.XSHG),Sell,Market_Order,-500Shares,8.56,-4280,-500Shares,-,130,9.28,Filled,2018-12-28 09:30:00
2018-12-28,09:30:00,Stock,大秦铁路(601006.XSHG),Sell,Market_Order,-500Shares,8.13,-4065,-500Shares,-,20,9.07,Filled,2018-12-28 09:30:00
2018-12-28,09:30:00,Stock,长江电力(600900.XSHG),Sell,Market_Order,-300Shares,15.6,-4680,-300Shares,-,96,9.68,Filled,2018-12-28 09:30:00
