Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2018-11-14,Stock,信立泰(002294.XSHE),Long,800Shares,0Shares,25.8,20640,-80,25.9,-,0,-80,800Shares,-0.39%,108463.36,19.03%
2018-11-14,Stock,新湖中宝(600208.XSHG),Long,6600Shares,0Shares,3.38,22308,1056,3.22,-,0,1056,6600Shares,4.97%,108463.36,20.57%
2018-11-14,Stock,步长制药(603858.XSHG),Long,700Shares,0Shares,27.81,19467,-189,28.08,-,0,-189,700Shares,-0.96%,108463.36,17.95%
2018-11-14,Stock,川投能源(600674.XSHG),Long,2600Shares,0Shares,8.19,21294,182,8.12,-,0,182,2600Shares,0.86%,108463.36,19.63%
2018-11-14,Stock,君正集团(601216.XSHG),Long,7200Shares,0Shares,2.99,21528,288,2.95,-,0,288,7200Shares,1.36%,108463.36,19.85%
2018-11-14,,Cash,,,,,3226.36,,,,,,,,0
2018-11-15,Stock,信立泰(002294.XSHE),Long,300Shares,300Shares,25.89,7767,-3,25.9,-,0,27,0Shares,-0.04%,109066.18,7.12%
2018-11-15,Stock,新湖中宝(600208.XSHG),Long,2000Shares,2000Shares,3.53,7060,620,3.22,-,0,300,0Shares,9.63%,109066.18,6.47%
2018-11-15,Stock,步长制药(603858.XSHG),Long,300Shares,300Shares,28.4,8520,96,28.08,-,0,177,0Shares,1.14%,109066.18,7.81%
2018-11-15,Stock,川投能源(600674.XSHG),Long,800Shares,800Shares,8.24,6592,96,8.12,-,0,40,0Shares,1.48%,109066.18,6.04%
2018-11-15,Stock,君正集团(601216.XSHG),Long,2200Shares,2200Shares,3.1,6820,330,2.95,-,0,242,0Shares,5.08%,109066.18,6.25%
2018-11-15,,Cash,,,,,72307.18,,,,,,,,0
2018-11-16,Stock,信立泰(002294.XSHE),Long,300Shares,300Shares,25.84,7752,-18,25.9,-,0,-15,0Shares,-0.23%,109108.43,7.1%
2018-11-16,Stock,新湖中宝(600208.XSHG),Long,600Shares,600Shares,3.55,2130,198,3.22,-,0,12,0Shares,10.25%,109108.43,1.95%
2018-11-16,Stock,步长制药(603858.XSHG),Long,300Shares,300Shares,28.45,8535,111,28.08,-,0,15,0Shares,1.32%,109108.43,7.82%
2018-11-16,Stock,川投能源(600674.XSHG),Long,300Shares,300Shares,8.29,2487,51,8.12,-,0,15,0Shares,2.09%,109108.43,2.28%
2018-11-16,Stock,君正集团(601216.XSHG),Long,700Shares,700Shares,3.11,2177,112,2.95,-,0,7,0Shares,5.42%,109108.43,2%
2018-11-16,,Cash,,,,,86027.43,,,,,,,,0
2018-11-19,Stock,信立泰(002294.XSHE),Long,300Shares,300Shares,25.79,7737,-33,25.9,-,0,-15,0Shares,-0.42%,109048.79,7.09%
2018-11-19,Stock,新湖中宝(600208.XSHG),Long,200Shares,200Shares,3.57,714,70,3.22,-,0,4,0Shares,10.87%,109048.79,0.65%
2018-11-19,Stock,步长制药(603858.XSHG),Long,300Shares,300Shares,28.41,8523,99,28.08,-,0,-12,0Shares,1.18%,109048.79,7.82%
2018-11-19,Stock,川投能源(600674.XSHG),Long,300Shares,300Shares,8.32,2496,60,8.12,-,0,9,0Shares,2.46%,109048.79,2.29%
2018-11-19,Stock,君正集团(601216.XSHG),Long,300Shares,300Shares,3.08,924,39,2.95,-,0,-9,0Shares,4.41%,109048.79,0.85%
2018-11-19,,Cash,,,,,88654.79,,,,,,,,0
2018-11-20,Stock,信立泰(002294.XSHE),Long,300Shares,300Shares,24.9,7470,-300,25.9,-,0,-267,0Shares,-3.86%,108516.79,6.88%
2018-11-20,Stock,新湖中宝(600208.XSHG),Long,200Shares,200Shares,3.4,680,36,3.22,-,0,-34,0Shares,5.59%,108516.79,0.63%
2018-11-20,Stock,步长制药(603858.XSHG),Long,300Shares,300Shares,27.9,8370,-54,28.08,-,0,-153,0Shares,-0.64%,108516.79,7.71%
2018-11-20,Stock,川投能源(600674.XSHG),Long,300Shares,300Shares,8.16,2448,12,8.12,-,0,-48,0Shares,0.49%,108516.79,2.26%
2018-11-20,Stock,君正集团(601216.XSHG),Long,300Shares,300Shares,2.98,894,9,2.95,-,0,-30,0Shares,1.02%,108516.79,0.82%
2018-11-20,,Cash,,,,,88654.79,,,,,,,,0
2018-11-21,Stock,信立泰(002294.XSHE),Long,200Shares,200Shares,24.8,4960,-220,25.9,-,0,-20,0Shares,-4.25%,108512.33,4.57%
2018-11-21,Stock,新湖中宝(600208.XSHG),Long,200Shares,200Shares,3.38,676,32,3.22,-,0,-4,0Shares,4.97%,108512.33,0.62%
2018-11-21,Stock,步长制药(603858.XSHG),Long,300Shares,300Shares,27.92,8376,-48,28.08,-,0,6,0Shares,-0.57%,108512.33,7.72%
2018-11-21,Stock,川投能源(600674.XSHG),Long,300Shares,300Shares,8.33,2499,63,8.12,-,0,51,0Shares,2.59%,108512.33,2.3%
2018-11-21,Stock,君正集团(601216.XSHG),Long,300Shares,300Shares,2.98,894,9,2.95,-,0,0,0Shares,1.02%,108512.33,0.82%
2018-11-21,,Cash,,,,,91107.33,,,,,,,,0
2018-11-22,Stock,信立泰(002294.XSHE),Long,200Shares,200Shares,25.22,5044,-136,25.9,-,0,84,0Shares,-2.63%,108618.33,4.64%
2018-11-22,Stock,新湖中宝(600208.XSHG),Long,200Shares,200Shares,3.34,668,24,3.22,-,0,-8,0Shares,3.73%,108618.33,0.61%
2018-11-22,Stock,步长制药(603858.XSHG),Long,300Shares,300Shares,28.05,8415,-9,28.08,-,0,39,0Shares,-0.11%,108618.33,7.75%
2018-11-22,Stock,川投能源(600674.XSHG),Long,300Shares,300Shares,8.23,2469,33,8.12,-,0,-30,0Shares,1.35%,108618.33,2.27%
2018-11-22,Stock,君正集团(601216.XSHG),Long,300Shares,300Shares,3.05,915,30,2.95,-,0,21,0Shares,3.39%,108618.33,0.84%
2018-11-22,,Cash,,,,,91107.33,,,,,,,,0
2018-11-23,Stock,信立泰(002294.XSHE),Long,200Shares,200Shares,24.23,4846,-334,25.9,-,0,-198,0Shares,-6.45%,108058.33,4.48%
2018-11-23,Stock,新湖中宝(600208.XSHG),Long,200Shares,200Shares,3.15,630,-14,3.22,-,0,-38,0Shares,-2.17%,108058.33,0.58%
2018-11-23,Stock,步长制药(603858.XSHG),Long,300Shares,300Shares,27.24,8172,-252,28.08,-,0,-243,0Shares,-2.99%,108058.33,7.56%
2018-11-23,Stock,川投能源(600674.XSHG),Long,300Shares,300Shares,8.1,2430,-6,8.12,-,0,-39,0Shares,-0.25%,108058.33,2.25%
2018-11-23,Stock,君正集团(601216.XSHG),Long,300Shares,300Shares,2.91,873,-12,2.95,-,0,-42,0Shares,-1.36%,108058.33,0.81%
2018-11-23,,Cash,,,,,91107.33,,,,,,,,0
2018-11-26,Stock,信立泰(002294.XSHE),Long,100Shares,100Shares,23.93,2393,-197,25.9,-,0,-30,0Shares,-7.61%,108012.9,2.22%
2018-11-26,Stock,新湖中宝(600208.XSHG),Long,200Shares,200Shares,3.2,640,-4,3.22,-,0,10,0Shares,-0.62%,108012.9,0.59%
2018-11-26,Stock,步长制药(603858.XSHG),Long,300Shares,300Shares,27.21,8163,-261,28.08,-,0,-9,0Shares,-3.1%,108012.9,7.56%
2018-11-26,Stock,川投能源(600674.XSHG),Long,300Shares,300Shares,8.05,2415,-21,8.12,-,0,-15,0Shares,-0.86%,108012.9,2.24%
2018-11-26,Stock,君正集团(601216.XSHG),Long,300Shares,300Shares,2.9,870,-15,2.95,-,0,-3,0Shares,-1.69%,108012.9,0.81%
2018-11-26,,Cash,,,,,93531.9,,,,,,,,0
2018-11-27,Stock,新湖中宝(600208.XSHG),Long,200Shares,200Shares,3.14,628,-16,3.22,-,0,-12,0Shares,-2.48%,107941.5,0.58%
2018-11-27,Stock,步长制药(603858.XSHG),Long,300Shares,300Shares,27.06,8118,-306,28.08,-,0,-45,0Shares,-3.63%,107941.5,7.52%
2018-11-27,Stock,川投能源(600674.XSHG),Long,300Shares,300Shares,7.98,2394,-42,8.12,-,0,-21,0Shares,-1.72%,107941.5,2.22%
2018-11-27,Stock,君正集团(601216.XSHG),Long,300Shares,300Shares,2.91,873,-12,2.95,-,0,3,0Shares,-1.36%,107941.5,0.81%
2018-11-27,,Cash,,,,,95928.5,,,,,,,,0
2018-11-28,Stock,君正集团(601216.XSHG),Long,7400Shares,300Shares,2.92,21608,62,2.912,-,0,74,7100Shares,0.29%,109875.97,19.67%
2018-11-28,Stock,北新建材(000786.XSHE),Long,1400Shares,0Shares,15.24,21336,56,15.2,-,0,56,1400Shares,0.26%,109875.97,19.42%
2018-11-28,Stock,光线传媒(300251.XSHE),Long,2900Shares,0Shares,7.56,21924,609,7.35,-,0,609,2900Shares,2.86%,109875.97,19.95%
2018-11-28,Stock,泸州老窖(000568.XSHE),Long,500Shares,0Shares,40.22,20110,150,39.92,-,0,150,500Shares,0.75%,109875.97,18.3%
