Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^HSNF,^HSNF,^HSNF,^HSNF,^HSNF,^HSNF
Date,,,,,,
2014-01-22,31760.939453125,31760.939453125,31849.060546875,31463.609375,31466.740234375,10317700
2014-01-23,31167.5703125,31167.5703125,31739.009765625,31133.369140625,31702.220703125,12666900
2014-01-24,30847.2109375,30847.2109375,31066.509765625,30824.259765625,30928.01953125,12085900
2014-01-27,30172.48046875,30172.48046875,30245.9609375,30084.109375,30245.9609375,14291900
2014-01-28,30021.80078125,30021.80078125,30220.470703125,29927.55078125,30220.470703125,10737200
2014-01-29,30397.75,30397.75,30510.5,30138.380859375,30138.380859375,11741200
2014-01-30,30075.30078125,30075.30078125,30105.2109375,29784.609375,29967.05078125,8615600
2014-02-04,29324.599609375,29324.599609375,29494.349609375,29283.630859375,29379.390625,13217900
2014-02-05,29216.869140625,29216.869140625,29457.6796875,29093.76953125,29436.619140625,10135300
2014-02-06,29265.169921875,29265.169921875,29350.830078125,29136.48046875,29197.05078125,8337800
2014-02-07,29477.869140625,29477.869140625,29588.5,29363.919921875,29431.76953125,7868800
2014-02-10,29355.810546875,29355.810546875,29535.75,29284.560546875,29443.560546875,9197900
2014-02-11,29994.669921875,29994.669921875,30077.19921875,29331.490234375,29331.490234375,12657100
2014-02-12,30425.4609375,30425.4609375,30477.220703125,30154.01953125,30204.189453125,11254800
2014-02-13,30250.390625,30250.390625,30435.51953125,30172.009765625,30432.2109375,8173000
2014-02-14,30379.009765625,30379.009765625,30573.94921875,30326.349609375,30517.380859375,6107300
2014-02-17,30788.080078125,30788.080078125,30870.669921875,30663.310546875,30663.310546875,6259000
2014-02-18,30903.439453125,30903.439453125,30926.650390625,30743.890625,30828.029296875,6093400
2014-02-19,31143.6796875,31143.6796875,31189.779296875,30896.880859375,30952.990234375,6898900
2014-02-20,30628.48046875,30628.48046875,31164.41015625,30480.25,30957.76953125,12418900
2014-02-21,30706.130859375,30706.130859375,30944.859375,30585.9609375,30944.859375,8679000
2014-02-24,30480.869140625,30480.869140625,30638.640625,30316.509765625,30638.640625,9924700
2014-02-25,30172.6796875,30172.6796875,30498.279296875,30069.91015625,30497.75,8003200
2014-02-26,30161.560546875,30161.560546875,30296.19921875,29995.080078125,30058.48046875,9445700
2014-02-27,30485.970703125,30485.970703125,30584.099609375,30100.119140625,30148.0,9179300
2014-02-28,30458.279296875,30458.279296875,30673.580078125,30324.400390625,30592.650390625,9901400
2014-03-03,29989.8203125,29989.8203125,30369.900390625,29925.650390625,30190.640625,8333800
2014-03-04,30106.5703125,30106.5703125,30356.33984375,29962.05078125,30007.640625,6734900
2014-03-05,29965.470703125,29965.470703125,30339.41015625,29920.7109375,30339.41015625,9516200
2014-03-06,29968.060546875,29968.060546875,30154.880859375,29889.310546875,29889.310546875,9695200
2014-03-07,30001.4609375,30001.4609375,30120.439453125,29906.029296875,30011.029296875,7119100
2014-03-10,29600.16015625,29600.16015625,29666.349609375,29534.5,29567.560546875,8691700
2014-03-11,29530.630859375,29530.630859375,29617.919921875,29469.2109375,29469.2109375,7601100
2014-03-12,29061.23046875,29061.23046875,29153.259765625,28967.4296875,29139.3203125,11410400
2014-03-13,28901.400390625,28901.400390625,29261.73046875,28880.23046875,29033.740234375,9981700
2014-03-14,28776.419921875,28776.419921875,28839.5390625,28698.349609375,28759.779296875,9072900
2014-03-17,28731.55078125,28731.55078125,28856.240234375,28631.189453125,28756.080078125,4504100
2014-03-18,28708.220703125,28708.220703125,28791.669921875,28629.419921875,28791.669921875,8222200
2014-03-19,28684.01953125,28684.01953125,28761.470703125,28581.380859375,28650.390625,6650600
2014-03-20,28222.849609375,28222.849609375,28499.849609375,28180.439453125,28478.23046875,11574300
2014-03-21,28526.26953125,28526.26953125,28620.330078125,28201.130859375,28288.80078125,15395800
2014-03-24,29154.58984375,29154.58984375,29252.099609375,28760.25,28868.7890625,14529200
2014-03-25,29164.650390625,29164.650390625,29346.08984375,29037.109375,29116.859375,8141800
2014-03-26,29560.140625,29560.140625,29693.390625,29395.73046875,29395.73046875,11958400
2014-03-27,29599.580078125,29599.580078125,29745.669921875,29452.73046875,29699.470703125,12772000
2014-03-28,29889.650390625,29889.650390625,30057.970703125,29744.810546875,29744.810546875,14190400
2014-03-31,30017.58984375,30017.58984375,30161.080078125,29888.48046875,30161.080078125,11440000
2014-04-01,30122.91015625,30122.91015625,30212.380859375,29980.73046875,30136.599609375,9279400
2014-04-02,30143.390625,30143.390625,30229.73046875,30044.080078125,30229.73046875,9301100
2014-04-03,30278.98046875,30278.98046875,30450.119140625,30233.5390625,30348.310546875,7178600
2014-04-04,30366.900390625,30366.900390625,30436.7109375,30245.5703125,30251.41015625,8710900
2014-04-07,30300.8203125,30300.8203125,30461.970703125,30190.98046875,30301.509765625,7740000
2014-04-08,30689.509765625,30689.509765625,30748.369140625,30237.609375,30325.640625,15573500
2014-04-09,30885.7109375,30885.7109375,31047.75,30721.6796875,30827.76953125,14013700
2014-04-10,31007.359375,31007.359375,31161.880859375,30661.390625,30957.5703125,16651900
2014-04-11,31037.08984375,31037.08984375,31224.970703125,30866.55078125,31130.189453125,14495400
2014-04-14,31056.349609375,31056.349609375,31176.83984375,30896.7109375,30896.7109375,7756000
2014-04-15,30612.9609375,30612.9609375,31039.44921875,30600.310546875,31039.44921875,9079000
2014-04-16,30716.66015625,30716.66015625,30914.41015625,30596.439453125,30683.349609375,7024000
2014-04-17,30752.470703125,30752.470703125,30966.4296875,30598.55078125,30966.4296875,6070900
2014-04-22,30678.970703125,30678.970703125,30843.0,30560.689453125,30737.41015625,5732700
2014-04-23,30293.359375,30293.359375,30808.73046875,30249.109375,30808.73046875,8650900
2014-04-24,30381.98046875,30381.98046875,30412.849609375,30236.580078125,30320.98046875,7803100
2014-04-25,29934.19921875,29934.19921875,30377.5,29917.580078125,30289.640625,8741900
2014-04-28,29842.01953125,29842.01953125,29962.9296875,29782.9296875,29846.51953125,6379900
2014-04-29,30350.80078125,30350.80078125,30399.720703125,29846.73046875,29948.169921875,8999100
2014-04-30,29938.849609375,29938.849609375,30309.51953125,29833.419921875,30301.330078125,9936400
2014-05-02,30056.2109375,30056.2109375,30229.16015625,29982.720703125,30017.900390625,5509500
2014-05-05,29847.75,29847.75,30245.099609375,29693.599609375,30088.23046875,5787900
2014-05-07,29646.919921875,29646.919921875,29880.16015625,29600.060546875,29773.0703125,8206200
2014-05-08,29804.23046875,29804.23046875,29986.630859375,29712.990234375,29740.23046875,6059100
2014-05-09,29767.80078125,29767.80078125,29845.060546875,29612.05078125,29759.2109375,5437800
2014-05-12,30195.779296875,30195.779296875,30419.109375,29602.560546875,29811.669921875,9827800
2014-05-13,30218.94921875,30218.94921875,30362.080078125,30136.009765625,30362.080078125,5222800
2014-05-14,30519.259765625,30519.259765625,30623.8203125,30239.400390625,30365.580078125,12164700
2014-05-15,30628.259765625,30628.259765625,30680.369140625,30420.150390625,30555.76953125,7197800
2014-05-16,30713.91015625,30713.91015625,30724.919921875,30467.810546875,30575.900390625,6904600
2014-05-19,30728.029296875,30728.029296875,30849.0,30555.310546875,30849.0,5291100
2014-05-20,30795.890625,30795.890625,30902.33984375,30696.439453125,30731.349609375,7856600
2014-05-21,30683.4296875,30683.4296875,30745.099609375,30436.130859375,30605.560546875,9556500
2014-05-22,30881.990234375,30881.990234375,31074.220703125,30771.939453125,30831.830078125,12395600
2014-05-23,30906.75,30906.75,30989.109375,30830.880859375,30989.109375,7843000
2014-05-26,30942.5703125,30942.5703125,31080.73046875,30851.189453125,30994.41015625,5680300
2014-05-27,30960.55078125,30960.55078125,31050.98046875,30894.73046875,30997.390625,5109800
2014-05-28,31256.619140625,31256.619140625,31428.330078125,30944.6796875,31053.419921875,10435700
2014-05-29,31289.779296875,31289.779296875,31501.400390625,31201.5390625,31260.439453125,11063800
2014-05-30,31448.720703125,31448.720703125,31588.83984375,31275.4609375,31359.880859375,14007200
2014-06-03,31666.810546875,31666.810546875,31686.380859375,31448.880859375,31682.259765625,11966900
2014-06-04,31617.26953125,31617.26953125,31677.810546875,31546.66015625,31677.810546875,7099100
2014-06-05,31573.19921875,31573.19921875,31614.19921875,31428.080078125,31578.08984375,7211100
2014-06-06,31392.369140625,31392.369140625,31730.759765625,31341.310546875,31730.759765625,12627600
2014-06-09,31624.05078125,31624.05078125,31678.2109375,31500.580078125,31547.720703125,8167400
2014-06-10,31851.80078125,31851.80078125,31946.779296875,31612.509765625,31778.080078125,11151200
2014-06-11,31741.259765625,31741.259765625,31779.0390625,31644.560546875,31739.01953125,8473900
2014-06-12,31481.009765625,31481.009765625,31504.099609375,31283.48046875,31353.939453125,8039600
2014-06-13,31657.7109375,31657.7109375,31747.7890625,31366.19921875,31366.19921875,9481700
2014-06-16,31610.109375,31610.109375,31668.390625,31478.759765625,31579.619140625,6997800
2014-06-17,31431.4609375,31431.4609375,31541.4609375,31333.9296875,31515.310546875,8505200
2014-06-18,31374.0390625,31374.0390625,31552.6796875,31277.80078125,31277.80078125,8118700
2014-06-19,31264.51953125,31264.51953125,31417.9296875,31191.560546875,31356.669921875,8575700
2014-06-20,31264.720703125,31264.720703125,31389.619140625,31216.060546875,31278.19921875,8147100
2014-06-23,30691.91015625,30691.91015625,31512.720703125,30673.810546875,31231.470703125,12646400
2014-06-24,30833.759765625,30833.759765625,30949.439453125,30758.26953125,30842.830078125,9651400
2014-06-25,30728.740234375,30728.740234375,30862.900390625,30691.859375,30855.7109375,6501700
2014-06-26,30994.779296875,30994.779296875,31008.349609375,30787.9609375,30819.560546875,6994000
2014-06-27,30959.75,30959.75,31023.76953125,30817.44921875,30941.759765625,7143800
2014-06-30,30850.73046875,30850.73046875,31068.419921875,30580.259765625,31000.98046875,8961800
2014-07-02,31151.9296875,31151.9296875,31202.939453125,30793.1796875,30832.5390625,11630100
2014-07-03,31198.830078125,31198.830078125,31280.69921875,31100.51953125,31176.740234375,5632800
2014-07-04,31285.279296875,31285.279296875,31358.640625,31236.939453125,31352.880859375,6231800
2014-07-07,31271.2109375,31271.2109375,31365.640625,31171.94921875,31343.73046875,4971800
2014-07-08,31254.83984375,31254.83984375,31340.01953125,31146.279296875,31340.01953125,6154200
2014-07-09,30844.330078125,30844.330078125,31142.419921875,30793.26953125,31142.419921875,9445400
2014-07-10,30866.220703125,30866.220703125,30952.029296875,30780.890625,30937.33984375,6638700
2014-07-11,30838.099609375,30838.099609375,30906.189453125,30678.3203125,30775.880859375,6060500
2014-07-14,30977.650390625,30977.650390625,31113.689453125,30864.419921875,30912.490234375,5722700
2014-07-15,31004.66015625,31004.66015625,31141.51953125,30951.3203125,31122.58984375,5077200
2014-07-16,31066.310546875,31066.310546875,31183.740234375,30954.9296875,31043.779296875,4779000
2014-07-17,31081.310546875,31081.310546875,31178.91015625,30941.650390625,31178.91015625,5680400
2014-07-18,31005.4609375,31005.4609375,31026.0,30721.419921875,30840.970703125,4671000
2014-07-21,30931.1796875,30931.1796875,31102.279296875,30902.05078125,31056.0,6248900
2014-07-22,31484.91015625,31484.91015625,31517.05078125,30963.779296875,31051.380859375,11489800
2014-07-23,31768.859375,31768.859375,31789.69921875,31516.490234375,31516.490234375,10499100
2014-07-24,32059.119140625,32059.119140625,32077.150390625,31818.419921875,31888.119140625,11786000
2014-07-25,32298.369140625,32298.369140625,32377.98046875,32067.080078125,32377.98046875,10623900
2014-07-28,32646.4609375,32646.4609375,32735.1796875,32327.640625,32327.640625,13776000
2014-07-29,32950.05078125,32950.05078125,33003.078125,32731.060546875,32835.0390625,12127200
2014-07-30,33028.26171875,33028.26171875,33218.1484375,32909.37890625,33037.8984375,14787000
2014-07-31,33128.3984375,33128.3984375,33219.2890625,32933.3515625,33131.76171875,11773700
2014-08-01,32824.37109375,32824.37109375,33066.3203125,32754.83984375,32969.12109375,10800500
2014-08-04,32881.5,32881.5,33041.62890625,32803.87890625,32892.69140625,6465900
2014-08-05,32931.8515625,32931.8515625,33021.76953125,32704.80078125,33016.46875,7056200
2014-08-06,32865.2109375,32865.2109375,32877.73828125,32534.619140625,32786.9296875,6321300
2014-08-07,32626.669921875,32626.669921875,32758.419921875,32563.119140625,32753.23046875,6490000
2014-08-08,32437.609375,32437.609375,32714.150390625,32269.529296875,32499.490234375,7608800
2014-08-11,32894.05859375,32894.05859375,32914.73046875,32641.119140625,32731.7890625,5828500
2014-08-12,32869.73828125,32869.73828125,32874.6484375,32635.16015625,32772.55859375,4755400
2014-08-13,33170.171875,33170.171875,33188.2890625,32818.4609375,32927.83984375,8079800
2014-08-14,33111.33984375,33111.33984375,33341.71875,33007.76171875,33258.41015625,7687000
2014-08-15,33250.30078125,33250.30078125,33405.69140625,33233.078125,33384.87890625,5768700
2014-08-18,33090.75,33090.75,33153.640625,32852.6484375,33153.640625,6099000
2014-08-19,33210.51953125,33210.51953125,33330.30078125,32946.6796875,33161.578125,7044100
2014-08-20,33184.890625,33184.890625,33234.921875,33070.6796875,33202.80859375,6351800
2014-08-21,32915.58984375,32915.58984375,33156.921875,32801.5,33156.921875,8292800
2014-08-22,33173.359375,33173.359375,33197.890625,32938.75,32969.94921875,6426700
2014-08-25,33357.08984375,33357.08984375,33455.05859375,32982.171875,33083.30859375,6593400
2014-08-26,33205.0,33205.0,33391.33984375,33199.0703125,33283.25,5449600
2014-08-27,32914.3203125,32914.3203125,33281.26953125,32885.9296875,33248.859375,7698800
2014-08-28,32732.650390625,32732.650390625,33124.7109375,32641.7890625,33086.48046875,8066300
2014-08-29,32745.7890625,32745.7890625,32860.96875,32590.3203125,32823.08984375,8869900
2014-09-01,32697.2109375,32697.2109375,32872.44921875,32626.4296875,32636.310546875,8773900
2014-09-02,32595.330078125,32595.330078125,32676.380859375,32356.560546875,32606.5703125,9000800
2014-09-03,33384.12890625,33384.12890625,33388.01171875,32584.30078125,32659.7109375,15641100
2014-09-04,33380.12109375,33380.12109375,33492.05859375,33230.48046875,33302.01171875,12909900
2014-09-05,33435.23828125,33435.23828125,33540.91015625,33311.25,33477.640625,14124000
2014-09-08,33331.12109375,33331.12109375,33503.80859375,33210.19140625,33503.80859375,8290000
2014-09-10,32831.19140625,32831.19140625,33143.2109375,32784.76171875,33143.2109375,10361300
2014-09-11,32850.66015625,32850.66015625,32977.671875,32717.619140625,32939.21875,7633300
2014-09-12,32787.51171875,32787.51171875,32874.73828125,32607.119140625,32815.48046875,5523900
2014-09-15,32541.939453125,32541.939453125,32702.91015625,32442.98046875,32553.66015625,6090400
2014-09-16,32418.83984375,32418.83984375,32741.630859375,32384.439453125,32493.130859375,5905600
2014-09-17,32765.810546875,32765.810546875,32858.26171875,32660.16015625,32714.029296875,9642600
2014-09-18,32548.58984375,32548.58984375,32709.25,32342.560546875,32709.25,8017400
2014-09-19,32814.41015625,32814.41015625,32924.16015625,32535.630859375,32736.669921875,9945600
2014-09-22,32355.470703125,32355.470703125,32522.390625,32285.66015625,32489.19921875,10084800
2014-09-23,32219.919921875,32219.919921875,32473.849609375,32183.26953125,32272.69921875,7613300
2014-09-24,32335.689453125,32335.689453125,32516.08984375,32137.7109375,32157.169921875,7529500
2014-09-25,32102.509765625,32102.509765625,32518.109375,32054.48046875,32472.9296875,9471000
2014-09-26,32061.689453125,32061.689453125,32114.19921875,31868.099609375,31868.099609375,8081900
