Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^HSNU,^HSNU,^HSNU,^HSNU,^HSNU,^HSNU
Date,,,,,,
2020-04-15,53784.8515625,53784.8515625,54361.26171875,53483.46875,53834.78125,35402600
2020-04-16,53294.7890625,53294.7890625,53535.05859375,52686.98046875,53413.5,27862000
2020-04-17,53536.609375,53536.609375,54029.4609375,53299.98828125,53671.109375,27985000
2020-04-20,53024.421875,53024.421875,53690.890625,52698.48046875,53690.890625,28567000
2020-04-21,52291.640625,52291.640625,53047.83984375,51755.2890625,53047.83984375,37549000
2020-04-22,52501.21875,52501.21875,52543.05859375,51581.91015625,51729.83984375,29145800
2020-04-23,52774.83984375,52774.83984375,52902.23828125,52466.19140625,52588.83984375,24705700
2020-04-24,52337.140625,52337.140625,52584.62109375,52131.69921875,52401.48046875,15157100
2020-04-27,53029.19140625,53029.19140625,53054.75,52277.94140625,52277.94140625,23847800
2020-04-28,53386.03125,53386.03125,53468.73046875,52760.5703125,53039.80859375,29063300
2020-04-29,53107.0,53107.0,53873.62109375,52763.328125,53873.62109375,29843000
2020-05-04,51636.890625,51636.890625,52096.1484375,51427.4609375,51427.4609375,36815600
2020-05-05,51894.48828125,51894.48828125,52028.1796875,51721.19921875,51778.9296875,15668200
2020-05-06,52558.23828125,52558.23828125,52690.828125,52009.5,52009.5,0
2020-05-07,51804.4609375,51804.4609375,52193.3515625,51769.171875,52079.7890625,20253500
2020-05-08,51961.28125,51961.28125,52265.0390625,51699.98828125,52199.16015625,14399200
2020-05-11,52145.7109375,52145.7109375,52667.5390625,51997.83984375,52193.05078125,21112400
2020-05-12,51797.671875,51797.671875,52013.08984375,51495.98046875,51911.69140625,28914600
2020-05-13,51997.28125,51997.28125,52235.390625,51261.0390625,51710.66015625,23461400
2020-05-14,51692.94921875,51692.94921875,51936.44140625,51345.3984375,51534.48828125,23908300
2020-05-15,51644.6484375,51644.6484375,52153.44140625,51561.91015625,51820.16015625,20656600
2020-05-18,51013.21875,51013.21875,51417.91015625,50868.3515625,51062.62109375,17669900
2020-05-19,51714.55078125,51714.55078125,52272.23828125,51500.76171875,51786.1484375,23665800
2020-05-20,51874.5703125,51874.5703125,52036.69140625,51628.6484375,52036.69140625,13815500
2020-05-21,51033.3203125,51033.3203125,51895.25,51033.3203125,51840.078125,21661300
2020-05-22,48370.05859375,48370.05859375,50613.3515625,48153.55078125,50613.3515625,80150500
2020-05-25,47929.2890625,47929.2890625,48129.5390625,47332.03125,47914.96875,38601800
2020-05-26,49125.05078125,49125.05078125,49413.44140625,48122.44921875,48179.05859375,28782200
2020-05-27,48159.30859375,48159.30859375,49341.03125,47950.890625,49341.03125,35692400
2020-05-28,47788.23828125,47788.23828125,48109.0,47175.78125,47786.87890625,40647200
2020-05-29,47965.03125,47965.03125,48178.859375,47272.1796875,47466.48046875,69108600
2020-06-01,49386.640625,49386.640625,49853.78125,48876.0703125,48991.21875,49907300
2020-06-02,49580.96875,49580.96875,49674.5,49026.12109375,49026.12109375,28399000
2020-06-03,49581.87109375,49581.87109375,49940.58984375,49090.2109375,49940.58984375,38897900
2020-06-04,49236.609375,49236.609375,49859.66015625,49105.6015625,49859.66015625,34142200
2020-06-05,49996.6796875,49996.6796875,50196.16015625,48835.109375,49155.12890625,42986700
2020-06-08,49954.62890625,49954.62890625,50202.62109375,49767.71875,50147.76171875,46739500
2020-06-09,50032.26171875,50032.26171875,50236.48046875,49630.62890625,49707.94921875,38552200
2020-06-10,49554.23046875,49554.23046875,50641.828125,49537.26953125,50544.921875,36597200
2020-06-11,49097.0,49097.0,49831.08984375,49063.140625,49831.08984375,42210200
2020-06-12,49122.26953125,49122.26953125,49122.26953125,48149.078125,48431.98046875,36108800
2020-06-15,48067.37890625,48067.37890625,48959.80859375,48022.73046875,48562.26953125,38673300
2020-06-16,48561.91015625,48561.91015625,48904.6796875,48491.80078125,48536.83984375,31284100
2020-06-17,48518.109375,48518.109375,48949.6015625,48235.140625,48649.26171875,29568500
