"Date","OrderTime","AssetType","Security","TradeSide","OrderType","FilledQuantity","FilledPrice","FilledAmount","OrderQuantity","OrderPrice","RealizedPnL","Commission","Status","LastUpdatedAt"
"2014-02-13","09:30:00","Equity","600062.XSHG","Sell","MarketOrder","-100 shares","20.87","-2087","-100 shares","-","-38","7.09","Filled","2014-02-13 09:30:00"
"2014-02-13","09:30:00","Equity","002422.XSHE","Sell","MarketOrder","-200 shares","47","-9400","-200 shares","-","200","14.4","Filled","2014-02-13 09:30:00"
"2014-02-13","09:30:00","Equity","600352.XSHG","Buy","MarketOrder","2000 shares","12.45","24900","2000 shares","-","0","7.47","Filled","2014-02-13 09:30:00"
"2014-02-13","09:30:00","Equity","002304.XSHE","Buy","MarketOrder","600 shares","43.03","25818","600 shares","-","0","7.75","Filled","2014-02-13 09:30:00"
"2014-02-13","09:30:00","Equity","002001.XSHE","Buy","MarketOrder","1300 shares","18.81","24453","1300 shares","-","0","7.34","Filled","2014-02-13 09:30:00"
"2014-02-13","09:30:00","Equity","600585.XSHG","Buy","MarketOrder","1500 shares","16.82","25230","1500 shares","-","0","7.57","Filled","2014-02-13 09:30:00"
"2014-02-13","09:30:00","Equity","600519.XSHG","Buy","MarketOrder","100 shares","134.03","13403","100 shares","-","0","5","Filled","2014-02-13 09:30:00"
"2014-02-18","09:30:00","Equity","002304.XSHE","Sell","MarketOrder","-300 shares","52.6","-15780","-300 shares","-","2871","20.78","Filled","2014-02-18 09:30:00"
"2014-02-19","09:30:00","Equity","002304.XSHE","Sell","MarketOrder","-100 shares","52.25","-5225","-100 shares","-","922","10.23","Filled","2014-02-19 09:30:00"
"2014-02-20","09:30:00","Equity","002304.XSHE","Sell","MarketOrder","-100 shares","54.46","-5446","-100 shares","-","1143","10.45","Filled","2014-02-20 09:30:00"
"2014-02-24","09:30:00","Equity","600585.XSHG","Sell","MarketOrder","-1500 shares","15.47","-23205","-1500 shares","-","-2025","30.17","Filled","2014-02-24 09:30:00"
"2014-02-28","09:30:00","Equity","002001.XSHE","Sell","MarketOrder","-600 shares","17.7","-10620","-600 shares","-","-666","15.62","Filled","2014-02-28 09:30:00"
"2014-03-06","09:30:00","Equity","002001.XSHE","Sell","MarketOrder","-300 shares","17.76","-5328","-300 shares","-","-315","10.33","Filled","2014-03-06 09:30:00"
"2014-03-06","09:30:00","Equity","002304.XSHE","Sell","MarketOrder","-100 shares","51.8","-5180","-100 shares","-","877","10.18","Filled","2014-03-06 09:30:00"
"2014-03-06","09:30:00","Equity","002001.XSHE","Sell","MarketOrder","-400 shares","17.76","-7104","-400 shares","-","-420","12.1","Filled","2014-03-06 09:30:00"
"2014-03-06","09:30:00","Equity","000858.XSHE","Buy","MarketOrder","1600 shares","16.1","25760","1600 shares","-","0","7.73","Filled","2014-03-06 09:30:00"
"2014-03-06","09:30:00","Equity","000568.XSHE","Buy","MarketOrder","1500 shares","17.25","25875","1500 shares","-","0","7.76","Filled","2014-03-06 09:30:00"
"2014-03-06","09:30:00","Equity","000869.XSHE","Buy","MarketOrder","1000 shares","26.12","26120","1000 shares","-","0","7.84","Filled","2014-03-06 09:30:00"
"2014-03-11","09:30:00","Equity","000869.XSHE","Sell","MarketOrder","-500 shares","24.44","-12220","-500 shares","-","-840","17.22","Filled","2014-03-11 09:30:00"
"2014-03-12","09:30:00","Equity","000869.XSHE","Sell","MarketOrder","-200 shares","24.5","-4900","-200 shares","-","-324","9.9","Filled","2014-03-12 09:30:00"
"2014-03-13","09:30:00","Equity","000869.XSHE","Sell","MarketOrder","-100 shares","24.8","-2480","-100 shares","-","-132","7.48","Filled","2014-03-13 09:30:00"
"2014-03-20","09:30:00","Equity","600519.XSHG","Sell","MarketOrder","-100 shares","174.3","-17430","-100 shares","-","4027","22.66","Filled","2014-03-20 09:30:00"
"2014-03-27","09:30:00","Equity","600352.XSHG","Sell","MarketOrder","-1000 shares","16","-16000","-1000 shares","-","3550","21","Filled","2014-03-27 09:30:00"
"2014-03-27","09:30:00","Equity","000858.XSHE","Sell","MarketOrder","-1600 shares","17.09","-27344","-1600 shares","-","1584","35.55","Filled","2014-03-27 09:30:00"
"2014-03-27","09:30:00","Equity","000869.XSHE","Sell","MarketOrder","-200 shares","25.89","-5178","-200 shares","-","-46","10.18","Filled","2014-03-27 09:30:00"
"2014-03-27","09:30:00","Equity","600352.XSHG","Buy","MarketOrder","800 shares","16","12800","800 shares","-","0","5","Filled","2014-03-27 09:30:00"
"2014-03-27","09:30:00","Equity","600519.XSHG","Buy","MarketOrder","100 shares","157.66","15766","100 shares","-","0","5","Filled","2014-03-27 09:30:00"
"2014-03-27","09:30:00","Equity","002001.XSHE","Buy","MarketOrder","1500 shares","19.05","28575","1500 shares","-","0","8.57","Filled","2014-03-27 09:30:00"
"2014-03-27","09:30:00","Equity","000568.XSHE","Buy","MarketOrder","100 shares","18.07","1807","100 shares","-","0","5","Filled","2014-03-27 09:30:00"
"2014-03-27","09:30:00","Equity","600395.XSHG","Buy","MarketOrder","4900 shares","5.89","28861","4900 shares","-","0","8.66","Filled","2014-03-27 09:30:00"
"2014-04-08","09:30:00","Equity","600352.XSHG","Sell","MarketOrder","-900 shares","17.5","-15750","-900 shares","-","3125","20.75","Filled","2014-04-08 09:30:00"
"2014-04-09","09:30:00","Equity","600352.XSHG","Sell","MarketOrder","-400 shares","17.08","-6832","-400 shares","-","1220.89","11.83","Filled","2014-04-09 09:30:00"
"2014-04-10","09:30:00","Equity","600352.XSHG","Sell","MarketOrder","-200 shares","17.23","-3446","-200 shares","-","640.44","8.45","Filled","2014-04-10 09:30:00"
"2014-04-11","09:30:00","Equity","600352.XSHG","Sell","MarketOrder","-300 shares","16.8","-5040","-300 shares","-","831.67","10.04","Filled","2014-04-11 09:30:00"
"2014-04-11","09:30:00","Equity","000568.XSHE","Sell","MarketOrder","-1600 shares","17.8","-28480","-1600 shares","-","798","37.02","Filled","2014-04-11 09:30:00"
"2014-04-11","09:30:00","Equity","002001.XSHE","Sell","MarketOrder","-1500 shares","21.08","-31620","-1500 shares","-","3045","41.11","Filled","2014-04-11 09:30:00"
"2014-04-11","09:30:00","Equity","600395.XSHG","Sell","MarketOrder","-4900 shares","6.36","-31164","-4900 shares","-","2303","40.51","Filled","2014-04-11 09:30:00"
"2014-04-11","09:30:00","Equity","000858.XSHE","Buy","MarketOrder","1700 shares","17.45","29665","1700 shares","-","0","8.9","Filled","2014-04-11 09:30:00"
"2014-04-11","09:30:00","Equity","600157.XSHG","Buy","MarketOrder","6700 shares","4.55","30485","6700 shares","-","0","9.15","Filled","2014-04-11 09:30:00"
"2014-04-11","09:30:00","Equity","601006.XSHG","Buy","MarketOrder","4400 shares","6.85","30140","4400 shares","-","0","9.04","Filled","2014-04-11 09:30:00"
"2014-04-11","09:30:00","Equity","600009.XSHG","Buy","MarketOrder","2300 shares","13.05","30015","2300 shares","-","0","9","Filled","2014-04-11 09:30:00"
"2014-04-18","09:30:00","Equity","600519.XSHG","Sell","MarketOrder","-100 shares","175","-17500","-100 shares","-","1734","22.75","Filled","2014-04-18 09:30:00"
"2014-04-18","09:30:00","Equity","000858.XSHE","Sell","MarketOrder","-1700 shares","17.59","-29903","-1700 shares","-","238","38.87","Filled","2014-04-18 09:30:00"
"2014-04-18","09:30:00","Equity","601006.XSHG","Sell","MarketOrder","-4400 shares","6.81","-29964","-4400 shares","-","-176","38.95","Filled","2014-04-18 09:30:00"
"2014-04-18","09:30:00","Equity","600009.XSHG","Sell","MarketOrder","-2300 shares","13.06","-30038","-2300 shares","-","23","39.05","Filled","2014-04-18 09:30:00"
"2014-04-18","09:30:00","Equity","002001.XSHE","Buy","MarketOrder","1500 shares","20.6","30900","1500 shares","-","0","9.27","Filled","2014-04-18 09:30:00"
"2014-04-18","09:30:00","Equity","600585.XSHG","Buy","MarketOrder","1700 shares","17.39","29563","1700 shares","-","0","8.87","Filled","2014-04-18 09:30:00"
