date,symbol,side,shares,price,notional,fees,slippage_rate
2020-05-20,1368,sell,18000,1.1580575686633632,20845.036235940537,68.65,0.0016745097729627
2020-05-20,1415,buy,31000,0.9318487095323742,28887.3099955036,77.66,0.0019878597122302
2020-05-20,3998,sell,2000,1.088356479620324,2176.712959240648,48.27,0.0015078168620882
2020-05-21,38,buy,35500,0.951913363673976,33792.92441042615,83.28999999999999,0.0020140670252378
2020-05-21,327,sell,66500,0.8855725539299844,58890.57483634396,128.59245986907518,0.0049746585056355
2020-05-21,1071,sell,23000,0.9884221161261708,22733.708670901928,70.87,0.0015938220947769
2020-05-21,1368,buy,2000,1.1117439433578868,2223.4878867157736,48.28000000000001,0.0015711201422402
2020-05-21,1415,buy,49500,0.9723844939159292,48133.0324488385,108.6164259590708,0.0024582411504424
2020-05-21,3998,sell,3000,1.0683894834528136,3205.1684503584406,49.400000000000006,0.0015051556515761
2020-05-22,38,sell,14500,0.9983889496717724,14476.6397702407,61.84,0.0016110503282275
2020-05-22,327,sell,103500,1.245938028254045,128954.58592429369,263.54366873943496,0.003249577396764
2020-05-22,697,sell,182500,0.7562027664349444,138007.00487437737,281.9456038995019,0.0049963599540204
2020-05-22,1071,buy,5500,0.951445726233626,5232.951494284943,51.67,0.0015218170880273
2020-05-22,1368,buy,6000,1.061630590465453,6369.783542792718,52.81,0.0015382928919366
2020-05-22,1415,buy,149500,0.8924149918831169,133416.041286526,272.67283302922084,0.002713474025974
2020-05-22,3998,buy,36000,0.8913873102040816,32089.943167346937,82.08,0.001558775510204
2020-05-25,38,sell,5500,0.9385057196087564,5161.781457848159,51.66,0.0015896599906846
2020-05-25,697,sell,11500,0.6986372918978911,8034.328856825748,55.02,0.0019467258601553
2020-05-25,1071,sell,500,0.8686930166742657,434.3465083371328,46.05,0.0015022796847521
2020-05-25,1368,buy,15000,0.9015507648183556,13523.261472275331,60.72,0.0017230720203951
2020-05-25,1415,buy,4000,0.8012126019690577,3204.850407876231,49.400000000000006,0.001515752461322
2020-05-25,3998,sell,4500,0.8287331651912476,3729.299243360614,49.48,0.0015263069984967
2020-05-26,38,buy,26000,0.8915284320515883,23179.739233341294,71.94,0.001717339383807
2020-05-26,1071,sell,2000,0.9385813602941177,1877.162720588235,47.24,0.0015091911764705
2020-05-26,1368,buy,12000,0.9115142677211482,10938.17121265378,57.4,0.0016640304628002
2020-05-26,1415,sell,33500,0.998392790197961,33446.158471631694,83.24000000000001,0.001607209802039
2020-05-26,3998,sell,8000,0.91858191602602,7348.655328208161,53.940000000000005,0.0015413956238911
2020-05-27,38,sell,37500,1.0875802358749316,40784.25884530993,93.79740707624794,0.0022199670872188
2020-05-27,1071,buy,4500,0.941428017524644,4236.426078860898,50.54,0.0015191675794085
2020-05-27,1368,sell,7000,0.9584828978855924,6709.380285199148,52.85,0.0015803147025077
2020-05-27,1415,buy,46000,0.8314731738239562,38247.76599590199,89.45821279672158,0.001774908221634
2020-05-27,3998,buy,2500,0.931407397166362,2328.518492915905,48.290000000000006,0.0015133302864107
2020-05-28,38,buy,3000,0.9815689423076924,2944.7068269230767,48.37,0.0016009615384615
2020-05-28,1071,sell,23000,0.9584657374749646,22044.711961924186,70.81,0.0015981901302452
2020-05-28,1368,buy,2000,0.8713281075697211,1742.6562151394423,47.22,0.0015265604249667
2020-05-28,1415,buy,41000,0.6510806880629992,26694.308210582967,75.39000000000001,0.0016625970199988
2020-05-29,38,sell,8000,0.9081569512195122,7265.255609756098,53.93,0.0020253283302063
2020-05-29,1071,sell,10000,0.8986447895993489,8986.44789599349,55.14,0.0015057893340567
2020-05-29,1368,buy,16000,0.721284203595847,11540.547257533552,58.46,0.0017836161053431
2020-05-29,1415,buy,32500,0.5208912051137432,16928.964166196653,64.16,0.0017138559879676
2020-05-29,3998,sell,1000,0.7588584810717558,758.8584810717558,46.09,0.001501998589795
2020-06-01,38,buy,23500,0.9018030293757652,21192.37119033048,69.69,0.0020033659730722
2020-06-01,1071,buy,17000,0.9214591311417978,15664.805229410562,62.99,0.0015860121106497
2020-06-01,1368,sell,20000,0.8784755695677424,17569.51139135485,65.22999999999999,0.0017323073093835
2020-06-01,1415,sell,38500,0.6587773989799922,25362.9298607297,74.22000000000001,0.0018524257878906
2020-06-01,3998,sell,5500,0.86866089264334,4777.63490953837,50.61000000000001,0.0015392038582298
2020-06-02,38,sell,1500,0.9485306666666666,1422.796,47.18,0.0015466666666666
2020-06-02,1071,sell,1500,0.9685379162609542,1452.8068743914314,47.18,0.0015073028237585
2020-06-02,1368,buy,9500,0.8814735756462407,8373.998968639287,55.06,0.0016745177798189
2020-06-02,1415,sell,12000,0.7187158136394328,8624.589763673193,55.09,0.0017835921674544
