date,W-42,returns_momentum,price_vs_ma,trend_compression_score,avg_amount_level,bbi_upturn_score,obv_bottom_rising_score
2022-05-16,0.7664864864864865,0.8032432432432433,0.7827027027027027,0.8032432432432433,0.7545945945945945,0.7827027027027027,0.7881081081081082
2022-05-17,0.7762162162162162,0.8032432432432433,0.7837837837837838,0.7848648648648648,0.7621621621621621,0.7827027027027027,0.7881081081081082
2022-05-18,0.7708108108108108,0.8032432432432433,0.7837837837837838,0.7859459459459459,0.7589189189189189,0.7827027027027027,0.7891891891891892
2022-05-19,0.7708108108108108,0.8043243243243243,0.7837837837837838,0.8032432432432433,0.7578378378378379,0.7837837837837838,0.787027027027027
2022-05-20,0.772972972972973,0.8043243243243243,0.7837837837837838,0.8032432432432433,0.7578378378378379,0.7837837837837838,0.787027027027027
2022-05-23,0.7708108108108108,0.8043243243243243,0.7837837837837838,0.8043243243243243,0.76,0.7837837837837838,0.787027027027027
2022-05-24,0.7718918918918919,0.8043243243243243,0.7837837837837838,0.8054054054054054,0.76,0.7837837837837838,0.787027027027027
2022-05-25,0.7697297297297298,0.8032432432432433,0.7837837837837838,0.8054054054054054,0.76,0.7837837837837838,0.787027027027027
2022-05-26,0.7708108108108108,0.8021621621621622,0.7837837837837838,0.8043243243243243,0.7578378378378379,0.7827027027027027,0.7859459459459459
2022-05-27,0.7708108108108108,0.8010810810810811,0.7837837837837838,0.8043243243243243,0.7567567567567568,0.7827027027027027,0.7848648648648648
2022-05-30,0.7762162162162162,0.8032432432432433,0.7837837837837838,0.8043243243243243,0.7589189189189189,0.7837837837837838,0.7859459459459459
2022-05-31,0.7762162162162162,0.8032432432432433,0.7837837837837838,0.8054054054054054,0.7632432432432432,0.7837837837837838,0.787027027027027
2022-06-01,0.774054054054054,0.8032432432432433,0.7848648648648648,0.8054054054054054,0.7632432432432432,0.7837837837837838,0.7881081081081082
2022-06-02,0.7708108108108108,0.7848648648648648,0.8021621621621622,0.8054054054054054,0.7632432432432432,0.7837837837837838,0.787027027027027
2022-06-06,0.774054054054054,0.7859459459459459,0.8021621621621622,0.8054054054054054,0.7589189189189189,0.7848648648648648,0.787027027027027
2022-06-07,0.774054054054054,0.8021621621621622,0.8021621621621622,0.8043243243243243,0.7578378378378379,0.8010810810810811,0.7881081081081082
2022-06-08,0.774054054054054,0.8032432432432433,0.8032432432432433,0.8043243243243243,0.7578378378378379,0.8010810810810811,0.7881081081081082
2022-06-09,0.774054054054054,0.8043243243243243,0.8032432432432433,0.8043243243243243,0.7610810810810811,0.8021621621621622,0.7881081081081082
2022-06-10,0.7708108108108108,0.8054054054054054,0.8032432432432433,0.8043243243243243,0.7610810810810811,0.8032432432432433,0.7881081081081082
2022-06-13,0.7686486486486487,0.8054054054054054,0.8032432432432433,0.8054054054054054,0.7610810810810811,0.8032432432432433,0.7881081081081082
2022-06-14,0.7772972972972974,0.8043243243243243,0.8032432432432433,0.8043243243243243,0.7654054054054054,0.8032432432432433,0.7859459459459459
2022-06-15,0.7794594594594595,0.8043243243243243,0.8032432432432433,0.8043243243243243,0.7675675675675676,0.8032432432432433,0.7859459459459459
