"Date","AssetType","Security","Side","Quantity","AvailableQuantity","CloseOrSettlementPrice","MarketValue","UnrealizedPnL","AverageOpenPrice","AverageHoldingPriceFutures","Margin","DailyPnL","TodayQuantity","PnLRatio","PositionRatio"
"2022-11-04","Equity","300033.XSHE","Long","200 shares","200 shares","90.27","18054","1494","82.8","-","0","676","0 shares","9.02%","2465947.68"
"2022-11-04","Equity","603392.XSHG","Long","300 shares","300 shares","132.66","39798","1998","126","-","0","1128","0 shares","5.29%","2465947.68"
"2022-11-04","","Cash","","","","","2401959.68","","","","","","","","0"
"2022-11-07","Equity","002938.XSHE","Long","200 shares","200 shares","31.06","6212","212","30","-","0","76","0 shares","3.53%","2466112.68"
"2022-11-07","Equity","300033.XSHE","Long","200 shares","200 shares","89.83","17966","1406","82.8","-","0","-88","0 shares","8.49%","2466112.68"
"2022-11-07","Equity","603392.XSHG","Long","300 shares","300 shares","133.25","39975","2175","126","-","0","177","0 shares","5.75%","2466112.68"
"2022-11-07","","Cash","","","","","2401959.68","","","","","","","","0"
"2022-11-08","Equity","002938.XSHE","Long","200 shares","200 shares","30.52","6104","104","30","-","0","-108","0 shares","1.73%","2464824.68"
"2022-11-08","Equity","300033.XSHE","Long","200 shares","200 shares","88.88","17776","1216","82.8","-","0","-190","0 shares","7.34%","2464824.68"
"2022-11-08","Equity","603392.XSHG","Long","300 shares","300 shares","129.95","38985","1185","126","-","0","-990","0 shares","3.13%","2464824.68"
"2022-11-08","","Cash","","","","","2401959.68","","","","","","","","0"
"2022-11-09","Equity","002938.XSHE","Long","200 shares","200 shares","30.22","6044","44","30","-","0","-60","0 shares","0.73%","2464059.68"
"2022-11-09","Equity","300033.XSHE","Long","200 shares","200 shares","88.28","17656","1096","82.8","-","0","-120","0 shares","6.62%","2464059.68"
"2022-11-09","Equity","603392.XSHG","Long","300 shares","300 shares","128","38400","600","126","-","0","-585","0 shares","1.59%","2464059.68"
"2022-11-09","","Cash","","","","","2401959.68","","","","","","","","0"
"2022-11-10","Equity","002938.XSHE","Long","12200 shares","200 shares","29.74","362828","-6652","30.285","-","0","-6696","12000 shares","-1.8%","2440603.33"
