date,turnover_hkd,trading_cost_hkd,trade_count,cash
2021-02-23,52138.27940538409,285.61,5,1155.1700200088371
2021-02-24,27905.201374159104,258.54,5,1477.0365371304924
2021-02-25,71567.66425318446,309.08,5,519.1640873086435
2021-02-26,77276.13560980091,314.81999999999994,5,1445.6578043272102
2021-03-01,57631.403431784565,291.32,5,1932.317521340204
2021-03-02,1681135.9222951462,3377.066678905629,7,269.2861612867273
2021-03-03,261464.3149457037,654.0192424287952,5,364.3966035149497
2021-03-04,264599.18898272497,690.8321284018223,7,139.27615208791394
2021-03-05,197292.63703884307,570.8523285140799,6,379.4786392913084
2021-03-08,164873.34651140415,514.856204565937,6,419.3427372615697
2021-03-09,195698.24543127476,532.638721638189,6,135.76551401076722
2021-03-10,21885.09227652262,160.79,3,435.6583168826073
2021-03-11,142625.88221296604,468.8607182581419,6,125.37020329934604
2021-03-12,15099.204133362646,243.92,5,428.5033030262532
2021-03-15,62470.57372143144,251.94,4,967.074449744714
2021-03-16,40084.25837282622,272.09000000000003,5,718.270780186127
2021-03-17,28813.33278568439,260.66,5,487.0011958312741
2021-03-18,16882.84062991533,247.15,5,1418.9137183988605
2021-03-19,13265.459955790311,241.68,5,772.1359357501769
2021-03-22,68643.22008036613,305.72,5,208.92909822251025
2021-03-23,1273859.688136649,2588.362976541166,7,267056.68461941293
