Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2015-01-22,11:25:00,Stock,中国化学(601117.XSHG),Sell,Market_Order,-3100Shares,8.4,-26040,-3100Shares,-,775,33.85,Filled,2015-01-22 11:25:00
2015-02-03,09:30:00,Stock,国信证券(002736.XSHE),Buy,Market_Order,5200Shares,20.75,107900,5200Shares,-,0,32.37,Filled,2015-02-03 09:30:00
2015-02-06,14:50:00,Stock,国信证券(002736.XSHE),Sell,Market_Order,-5200Shares,20.01,-104052,-5200Shares,-,-3848,135.27,Filled,2015-02-06 14:50:00
2015-02-09,09:30:00,Stock,华能国际(600011.XSHG),Buy,Market_Order,7200Shares,7.14,51408,7200Shares,-,0,15.42,Filled,2015-02-09 09:30:00
2015-02-09,09:30:00,Stock,中国远洋(601919.XSHG),Buy,Market_Order,8900Shares,5.79,51531,8900Shares,-,0,15.46,Filled,2015-02-09 09:30:00
2015-03-02,11:25:00,Stock,巨化Shares份(600160.XSHG),Sell,Market_Order,-3800Shares,7.63,-28994,-3800Shares,-,3876,37.69,Filled,2015-03-02 11:25:00
2015-03-10,11:25:00,Stock,华能国际(600011.XSHG),Sell,Market_Order,-7200Shares,7.57,-54504,-7200Shares,-,3096,70.86,Filled,2015-03-10 11:25:00
2015-03-17,11:25:00,Stock,中国远洋(601919.XSHG),Sell,Market_Order,-8900Shares,7.19,-63991,-8900Shares,-,12460,83.19,Filled,2015-03-17 11:25:00
2015-03-31,09:30:00,Stock,欣旺达(300207.XSHE),Buy,Market_Order,3200Shares,45.9,146880,3200Shares,-,0,44.06,Filled,2015-03-31 09:30:00
2015-04-03,14:50:00,Stock,欣旺达(300207.XSHE),Sell,Market_Order,-3200Shares,52.99,-169568,-3200Shares,-,22688,220.44,Filled,2015-04-03 14:50:00
2015-04-10,09:30:00,Stock,中航黑豹(600760.XSHG),Buy,Market_Order,13200Shares,12.88,170016,13200Shares,-,0,51,Filled,2015-04-10 09:30:00
2015-04-20,14:50:00,Stock,中航黑豹(600760.XSHG),Sell,Market_Order,-13200Shares,14.94,-197208,-13200Shares,-,27192,256.37,Filled,2015-04-20 14:50:00
2015-04-29,09:30:00,Stock,欣旺达(300207.XSHE),Buy,Market_Order,3600Shares,17.82,64152,3600Shares,-,0,19.25,Filled,2015-04-29 09:30:00
2015-04-29,09:30:00,Stock,江粉磁材(002600.XSHE),Buy,Market_Order,6600Shares,9.97,65802,6600Shares,-,0,19.74,Filled,2015-04-29 09:30:00
2015-04-29,09:30:00,Stock,大华Shares份(002236.XSHE),Buy,Market_Order,1800Shares,34.97,62946,1800Shares,-,0,18.88,Filled,2015-04-29 09:30:00
2015-05-04,11:25:00,Stock,大华Shares份(002236.XSHE),Sell,Market_Order,-1800Shares,36.23,-65214,-1800Shares,-,2268,84.78,Filled,2015-05-04 11:25:00
2015-05-07,11:25:00,Stock,欣旺达(300207.XSHE),Sell,Market_Order,-3600Shares,21.7,-78120,-3600Shares,-,13968,101.56,Filled,2015-05-07 11:25:00
2015-05-07,11:25:00,Stock,江粉磁材(002600.XSHE),Sell,Market_Order,-6600Shares,9.67,-63822,-6600Shares,-,-1980,82.97,Filled,2015-05-07 11:25:00
2015-05-08,09:30:00,Stock,华能国际(600011.XSHG),Buy,Market_Order,6800Shares,10.23,69564,6800Shares,-,0,20.87,Filled,2015-05-08 09:30:00
2015-05-08,09:30:00,Stock,华友钴业(603799.XSHG),Buy,Market_Order,3300Shares,21.23,70059,3300Shares,-,0,21.02,Filled,2015-05-08 09:30:00
2015-05-08,09:30:00,Stock,江粉磁材(002600.XSHE),Buy,Market_Order,7400Shares,9.46,70004,7400Shares,-,0,21,Filled,2015-05-08 09:30:00
2015-05-11,09:30:00,Stock,深圳能源(000027.XSHE),Buy,Market_Order,100Shares,14,1400,100Shares,-,0,5,Filled,2015-05-11 09:30:00
2015-05-12,11:25:00,Stock,华友钴业(603799.XSHG),Sell,Market_Order,-3300Shares,24.49,-80817,-3300Shares,-,10758,105.06,Filled,2015-05-12 11:25:00
2015-05-14,14:50:00,Stock,江粉磁材(002600.XSHE),Sell,Market_Order,-7400Shares,11.39,-84286,-7400Shares,-,14282,109.57,Filled,2015-05-14 14:50:00
