Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2014-05-13,,Cash,,,,,179.16,,,,,,,,0
2014-05-14,Stock,阳光电源(300274.XSHE),Long,3100Shares,3100Shares,24.96,77376,527,24.79,-,0,-1488,0Shares,0.69%,154095.16,50.21%
2014-05-14,Stock,桐君阁(000591.XSHE),Long,8600Shares,8600Shares,8.9,76540,-430,8.95,-,0,516,0Shares,-0.56%,154095.16,49.67%
2014-05-14,,Cash,,,,,179.16,,,,,,,,0
2014-05-15,Stock,阳光电源(300274.XSHE),Long,3100Shares,3100Shares,24.37,75547,-1302,24.79,-,0,-1829,0Shares,-1.69%,151062.16,50.01%
2014-05-15,Stock,桐君阁(000591.XSHE),Long,8600Shares,8600Shares,8.76,75336,-1634,8.95,-,0,-1204,0Shares,-2.12%,151062.16,49.87%
2014-05-15,,Cash,,,,,179.16,,,,,,,,0
2014-05-16,Stock,阳光电源(300274.XSHE),Long,3100Shares,3100Shares,24.88,77128,279,24.79,-,0,1581,0Shares,0.36%,150054.47,51.4%
2014-05-16,,Cash,,,,,72926.47,,,,,,,,0
2014-05-19,Stock,阳光电源(300274.XSHE),Long,3100Shares,3100Shares,24.99,77469,620,24.79,-,0,341,0Shares,0.81%,150395.47,51.51%
2014-05-19,,Cash,,,,,72926.47,,,,,,,,0
2014-05-20,,Cash,,,,,151935.62,,,,,,,,0
2014-05-21,,Cash,,,,,151935.62,,,,,,,,0
2014-05-22,,Cash,,,,,151935.62,,,,,,,,0
2014-05-23,,Cash,,,,,151935.62,,,,,,,,0
2014-05-26,,Cash,,,,,151935.62,,,,,,,,0
2014-05-27,,Cash,,,,,151935.62,,,,,,,,0
2014-05-28,,Cash,,,,,151935.62,,,,,,,,0
2014-05-29,,Cash,,,,,151935.62,,,,,,,,0
2014-05-30,,Cash,,,,,151935.62,,,,,,,,0
2014-06-03,,Cash,,,,,151935.62,,,,,,,,0
2014-06-04,,Cash,,,,,151935.62,,,,,,,,0
