trade_date,stock_code,target_weight
2012-10-19,sh601000,0.1
2012-10-19,sz002293,0.1
2012-10-19,sh600490,0.1
2012-10-19,sh600710,0.1
2012-10-26,sh600710,0.1
2012-10-26,sz002029,0.1
2012-10-26,sz002489,0.1
2012-10-26,sz002563,0.1
2012-10-26,sh601000,0.1
2012-10-26,sz000869,0.1
2012-10-26,sh600298,0.1
2012-10-26,sz000703,0.1
2012-10-26,sh600490,0.1
2012-10-26,sz002293,0.1
2012-11-02,sh600783,0.1
2012-11-02,sh600577,0.1
2012-11-02,sh600372,0.1
2012-11-02,sz002042,0.1
2012-11-02,sh600409,0.1
2012-11-02,sh601000,0.1
2012-11-02,sz002489,0.1
2012-11-02,sz002293,0.1
2012-11-02,sz002497,0.1
2012-11-02,sh600710,0.1
2012-11-09,sh600409,0.1
2012-11-09,sz300050,0.1
2012-11-09,sh600372,0.1
2012-11-09,sz002293,0.1
2012-11-09,sh600783,0.1
2012-11-09,sz002029,0.1
2012-11-09,sz300046,0.1
2012-11-09,sz300222,0.1
2012-11-09,sz000703,0.1
2012-11-09,sz002042,0.1
2012-11-16,sz300109,0.1
2012-11-16,sh600409,0.1
2012-11-16,sz000869,0.1
2012-11-16,sh600372,0.1
2012-11-16,sh600869,0.1
2012-11-16,sz002283,0.1
2012-11-16,sz300046,0.1
2012-11-16,sz002338,0.1
2012-11-16,sz300222,0.1
2012-11-16,sz002029,0.1
2012-11-23,sh600409,0.1
2012-11-23,sz000708,0.1
2012-11-23,sh600577,0.1
2012-11-23,sz300109,0.1
2012-11-23,sh600498,0.1
2012-11-23,sz002283,0.1
2012-11-23,sz002029,0.1
2012-11-23,sh600372,0.1
2012-11-23,sz002147,0.1
2012-11-23,sz300222,0.1
2012-11-30,sh600226,0.1
2012-11-30,sh600081,0.1
2012-11-30,sh600328,0.1
2012-11-30,sh600498,0.1
2012-11-30,sz002203,0.1
2012-11-30,sz000596,0.1
2012-11-30,sz002449,0.1
2012-11-30,sz002338,0.1
2012-11-30,sz002293,0.1
2012-11-30,sz000969,0.1
2012-12-07,sh601126,0.1
2012-12-07,sh600783,0.1
2012-12-07,sz000065,0.1
2012-12-07,sz002137,0.1
2012-12-07,sz002449,0.1
2012-12-07,sh600468,0.1
2012-12-07,sz000810,0.1
2012-12-07,sz002293,0.1
2012-12-07,sz002338,0.1
2012-12-07,sh600226,0.1
2012-12-14,sz002137,0.1
2012-12-14,sz000810,0.1
2012-12-14,sz300164,0.1
2012-12-14,sz000969,0.1
2012-12-14,sh600328,0.1
2012-12-14,sz002338,0.1
2012-12-14,sh600962,0.1
2012-12-14,sz002286,0.1
2012-12-14,sz300004,0.1
2012-12-14,sh600468,0.1
2012-12-21,sz002201,0.1
2012-12-21,sh600328,0.1
2012-12-21,sz000969,0.1
2012-12-21,sh601999,0.1
2012-12-21,sh600810,0.1
2012-12-21,sh600962,0.1
2012-12-21,sh600468,0.1
2012-12-21,sh600406,0.1
2012-12-21,sz002137,0.1
2012-12-21,sz000065,0.1
2012-12-28,sz002248,0.1
2012-12-28,sz002290,0.1
2012-12-28,sz000065,0.1
2012-12-28,sh600962,0.1
2012-12-28,sz002286,0.1
2012-12-28,sz000707,0.1
2012-12-28,sz000969,0.1
2012-12-28,sh600468,0.1
2012-12-28,sz002304,0.1
2012-12-28,sz000997,0.1
