date,rolling_60d_trading_cost_hkd
2021-02-02,230.02683179436565
2021-02-03,230.02683179436565
2021-02-04,235.98834193030672
2021-02-05,280.66410031336477
2021-02-08,291.78989728138623
2021-02-09,314.24235300754395
2021-02-10,320.7234752630995
2021-02-11,327.41438216171883
2021-02-16,334.76467325750167
2021-02-17,341.5189694533808
2021-02-18,348.4944373899765
2021-02-19,352.6891040566432
2021-02-22,359.81132013233855
2021-02-23,364.57148679900524
2021-02-24,368.88048679900527
2021-02-25,374.03182013233857
2021-02-26,379.2788201323385
2021-03-01,384.1341534656719
2021-03-02,407.60416921886736
2021-03-03,412.30048540913384
2021-03-04,422.22252088249746
2021-03-05,428.89072635773215
2021-03-08,434.77566310049775
2021-03-09,434.84828039436513
2021-03-10,434.73861372769846
2021-03-11,438.4071061223116
2021-03-12,438.5949394556449
2021-03-15,439.71927278897823
2021-03-16,441.9129394556449
2021-03-17,443.63477278897824
2021-03-18,444.02610612231166
2021-03-19,445.1132727889783
2021-03-22,447.6986061223116
2021-03-23,470.91294956668594
2021-03-24,473.8192051333526
2021-03-25,475.7225834000193
2021-03-26,480.7357186153044
2021-03-29,482.51671861530446
2021-03-30,484.8425519486378
2021-03-31,487.3040770699691
2021-04-01,488.86570329294415
2021-04-07,484.96039548682114
2021-04-08,486.5535155211629
2021-04-09,490.1675722753251
2021-04-12,488.1273978501352
2021-04-13,489.2152311834686
2021-04-14,488.9092590474698
2021-04-15,490.72525904746976
2021-04-16,438.974003163893
2021-04-19,444.0370539103807
2021-04-20,473.62194365766743
2021-04-21,478.75631326439003
2021-04-22,481.4607771964056
2021-04-23,485.1527771964056
2021-04-26,492.71990309005326
2021-04-27,493.2263262686898
2021-04-28,498.2036999690574
2021-04-29,504.8126558090574
2021-04-30,512.2924216757241
2021-05-03,518.4039216757241
2021-05-04,522.2432550090574
2021-05-05,526.2154216757241
2021-05-06,527.1015897702216
2021-05-07,564.5951392305257
2021-05-10,564.6604245918818
2021-05-11,551.8423075680522
2021-05-12,554.2389077110728
2021-05-13,553.5645545248431
2021-05-14,550.4437600957268
2021-05-17,548.9596762331811
2021-05-18,548.0297648464783
2021-05-20,553.1925496162418
2021-05-21,551.7435029445163
2021-05-24,552.6930112294592
2021-05-25,555.7925818091194
2021-05-26,557.8171000532942
2021-05-27,555.9587667199609
2021-05-28,555.3779333866275
2021-05-31,546.250455969222
2021-06-01,549.767492482269
2021-06-02,546.0019536115955
2021-06-03,547.1402172655248
2021-06-04,544.2509485227591
2021-06-07,548.841587997401
2021-06-08,550.621087997401
2021-06-09,546.8550760264319
2021-06-10,548.262252026432
2021-06-11,552.012097877114
2021-06-15,551.7325978771139
2021-06-16,557.1340156492042
2021-06-17,556.7988489825376
2021-06-18,559.7321018589332
2021-06-21,562.6091374361006
2021-06-22,622.1917241840233
2021-06-23,633.6210760559939
2021-06-24,638.9244501973818
2021-06-25,637.2471307246486
2021-06-28,633.1242973913154
2021-06-29,648.0409615443589
2021-06-30,651.744048980572
2021-07-02,656.421857932891
2021-07-05,658.5697950055442
2021-07-06,655.7678026629778
2021-07-07,655.7372457336728
2021-07-08,657.5122041758128
2021-07-09,661.4835763802831
2021-07-12,662.6828447635348
2021-07-13,664.9883484760373
2021-07-14,772.9073084399267
2021-07-15,783.8920207759387
2021-07-16,764.0200672727962
2021-07-19,766.4995681366511
2021-07-20,767.063468328853
2021-07-21,769.1053612525153
2021-07-22,765.3414020255343
2021-07-23,762.8877353588675
2021-07-26,761.7833126616086
2021-07-27,762.0201751023712
2021-07-28,760.189897205544
2021-07-29,760.6242499102876
2021-07-30,762.1181803541402
2021-08-02,760.7308470208068
2021-08-03,758.9249705429302
2021-08-04,724.4680050853356
2021-08-05,724.3427875928916
2021-08-06,718.5671155572301
2021-08-09,714.8503750582308
2021-08-10,717.781192773176
2021-08-11,720.4686927956479
2021-08-12,722.7633401371841
2021-08-13,723.8636913037022
2021-08-16,719.4924065339387
2021-08-17,720.0659078551461
2021-08-18,719.4720662368698
2021-08-19,718.8640178572847
2021-08-20,718.9292953377542
2021-08-23,721.2141461698283
2021-08-24,728.2892165462994
2021-08-25,766.3856479127953
2021-08-26,762.1834204899217
2021-08-27,761.7303651197257
2021-08-30,758.0634978460096
2021-08-31,758.673682512426
2021-09-01,753.2925086970467
2021-09-02,755.1949821191429
2021-09-03,759.4666955444172
2021-09-06,763.7241519846066
2021-09-07,761.8529918560195
2021-09-08,763.7534542904743
2021-09-09,761.0398644608111
2021-09-10,762.3356977941445
2021-09-13,763.6390580443992
2021-09-14,762.9587855919399
2021-09-15,779.7001287755819
2021-09-16,782.6533219250487
2021-09-17,776.2512361836609
2021-09-20,775.5626850062678
2021-09-21,778.3530183396011
2021-09-23,770.8119355801811
2021-09-24,770.5455879399193
2021-09-27,770.5233979282004
2021-09-28,769.2380407469177
2021-09-29,771.3722277803586
2021-09-30,774.0653348878366
2021-10-04,775.8028857190421
2021-10-05,773.2998043458691
2021-10-06,773.2200105704108
2021-10-07,770.5776735245748
2021-10-08,737.5237242628338
2021-10-11,733.9883941501291
2021-10-12,748.2556206362641
2021-10-15,754.2676777855037
2021-10-18,764.5604734522283
2021-10-19,777.1397917809664
2021-10-20,780.0895186570798
2021-10-21,783.8499726975872
2021-10-22,782.7855216944783
2021-10-25,782.3191481864695
2021-10-26,781.316826883297
2021-10-27,778.7818075118867
2021-10-28,777.0077104013673
2021-10-29,777.213377068034
2021-11-01,776.7032419821388
2021-11-02,783.1799413953001
2021-11-03,785.1205140691169
2021-11-04,785.650014069117
2021-11-05,786.9215252928085
2021-11-08,781.5156538654737
2021-11-09,781.7706206867788
2021-11-10,784.168235068333
2021-11-11,782.9880004135308
2021-11-12,782.695403518781
2021-11-15,789.921437231382
2021-11-16,790.4487705647153
2021-11-17,787.3382483646402
2021-11-18,783.4494526399959
2021-11-19,784.0313218909439
2021-11-22,776.0160848478062
2021-11-23,795.4293658208833
2021-11-24,830.659026700777
2021-11-25,845.0464814757094
2021-11-26,846.317533559779
2021-11-29,848.3614514997083
2021-11-30,852.3906194530829
2021-12-01,854.2804167465695
2021-12-02,851.1143699879618
2021-12-03,845.4120708811058
2021-12-06,847.1520130111035
2021-12-07,844.9695505766485
2021-12-08,842.9402226342215
2021-12-09,841.0832226342214
2021-12-10,837.99123088012
2021-12-13,835.0291344220786
2021-12-14,846.8021354075065
2021-12-15,866.9197128006962
2021-12-16,870.5259002181124
2021-12-17,875.5930689247532
2021-12-20,878.048943687509
2021-12-21,869.8093622938856
2021-12-22,864.8867640432695
2021-12-23,857.4541113115318
2021-12-24,856.737072857635
2021-12-28,858.0653663128575
2021-12-29,854.2279346480881
2021-12-30,855.5424617932082
2021-12-31,854.9350042952442
2022-01-03,853.9846963541174
2022-01-04,855.5508530493154
2022-01-05,907.5013916622328
2022-01-06,934.8091764109117
2022-01-07,927.6429918074323
2022-01-10,936.6388118974452
2022-01-11,929.1015024657493
2022-01-12,920.9979744721545
2022-01-13,924.8266565937652
2022-01-14,926.333008003845
2022-01-17,927.7147236302555
2022-01-18,926.7137788575017
2022-01-19,927.1624455241683
2022-01-20,927.127112190835
2022-01-21,941.402816064597
2022-01-24,944.0861493979303
2022-01-25,954.5127368112464
2022-01-26,946.7743332727658
2022-01-27,967.0544740734812
2022-01-28,991.879728926006
2022-01-31,991.444985893574
2022-02-04,1008.4556631432222
2022-02-07,1033.1141555873967
2022-02-08,1036.7804707123776
2022-02-09,1037.7342020635658
2022-02-10,1048.3848478292964
2022-02-11,1040.926433495546
2022-02-14,1040.6049334955462
2022-02-15,1051.5406603163415
2022-02-16,1053.4726603163413
2022-02-17,1059.790878065712
2022-02-18,1066.392757887283
2022-02-21,1045.0304957429396
2022-02-22,1044.2115230477523
2022-02-23,1053.9404152505083
2022-02-24,1069.391039920357
2022-02-25,1065.4302693140112
2022-02-28,1063.5533029906942
2022-03-01,1063.2441709417783
2022-03-02,1066.1274303119455
2022-03-03,1065.9025969786123
2022-03-04,1067.3023633187047
2022-03-07,1070.3829565593853
2022-03-08,1071.2626087372325
2022-03-09,1078.042883705709
2022-03-10,1078.0573121831362
2022-03-11,1079.4253121831362
2022-03-14,1020.6283090480055
2022-03-15,1043.8633395443915
2022-03-16,1051.9330780027256
2022-03-17,1047.9143904375405
2022-03-18,1051.2611986133695
2022-03-21,1054.0568652800362
2022-03-22,1057.8425319467028
2022-03-23,1060.4853652800364
2022-03-24,1062.597742317443
2022-03-25,1063.0553851113718
2022-03-28,1062.2705827149425
2022-03-29,1059.8032830008963
2022-03-30,1060.062949667563
2022-03-31,1065.6198394846888
2022-04-01,1067.7175521581692
2022-04-04,1075.3685152206278
2022-04-06,1122.6783914108871
2022-04-07,1115.2477534236502
2022-04-08,1098.9613058699167
2022-04-11,1101.7299423304644
2022-04-12,1105.4989599832093
2022-04-13,1101.9499017133096
2022-04-14,1101.6520546074166
2022-04-19,1106.5474066987374
2022-04-20,1108.3818514081577
2022-04-21,1109.611268788202
2022-04-22,1110.320268788202
2022-04-25,1097.991567362146
2022-04-26,1098.939572871157
2022-04-27,1087.5778187911742
2022-04-28,1085.830240565274
2022-04-29,1099.212436277069
2022-05-03,1099.7587096575419
2022-05-04,1102.3075341581318
2022-05-05,1110.0946094794015
2022-05-06,1088.1367998278752
2022-05-10,1079.1410556186725
2022-05-11,1083.1814411164748
2022-05-12,1076.346130305223
2022-05-13,1073.4421735345284
2022-05-16,1078.6545549742866
2022-05-17,1070.9376983168593
2022-05-18,1073.110038458142
2022-05-19,1065.891445095874
2022-05-20,1059.8320652743027
2022-05-23,1109.0605662324356
2022-05-24,1114.819962550718
2022-05-25,1111.489025498042
2022-05-26,1101.8720149239387
2022-05-27,1103.3225567286836
2022-05-30,1101.4562808885744
2022-05-31,1115.66673311783
2022-06-01,1121.5466566797518
2022-06-02,1125.804734370252
2022-06-06,1127.776637790784
2022-06-07,1132.5249995439067
2022-06-08,1138.4530005356116
2022-06-09,1135.215892233802
2022-06-10,1135.2950090504924
2022-06-13,1134.675675717159
2022-06-14,1173.7523006847766
2022-06-15,1130.9292370342234
2022-06-16,1119.5906444918066
2022-06-17,1116.307732118525
2022-06-20,1112.9053825132735
2022-06-21,1112.790215846607
2022-06-22,1111.7597158466072
2022-06-23,1110.614215846607
2022-06-24,1109.046964038393
2022-06-27,1113.866347840808
2022-06-28,1125.9008913585283
2022-06-29,1126.6147809486758
2022-06-30,1139.6361319835391
2022-07-04,1134.548575499747
2022-07-05,1131.3173727977357
2022-07-06,1084.914559090261
2022-07-07,1070.1927843283156
2022-07-08,1077.1243496886468
2022-07-11,1086.7204441832268
2022-07-12,1080.4336321825297
2022-07-13,1087.377530274712
2022-07-14,1092.7887887156471
2022-07-15,1093.6802081064159
2022-07-18,1092.1515042619887
2022-07-19,1088.780892885902
2022-07-20,1089.535578720711
2022-07-21,1093.174549381095
2022-07-22,1095.7355911297714
2022-07-25,1098.9085202828282
2022-07-26,1099.153353616162
2022-07-27,1105.7310302813144
2022-07-28,1098.8503451710749
2022-07-29,1117.4707823499143
2022-08-01,1127.7607342039557
2022-08-02,1142.4600866385213
2022-08-03,1137.721940335429
2022-08-04,1137.379062029894
2022-08-05,1130.1294387859612
2022-08-08,1125.917036534355
2022-08-09,1128.2617032010216
2022-08-10,1121.4948217612632
2022-08-11,1119.1194515978957
2022-08-12,1115.1632781232795
2022-08-15,1113.1444336531551
2022-08-16,1114.2734336531548
2022-08-17,1049.9708754018943
2022-08-18,1029.9962896248644
2022-08-19,1021.3701545186984
2022-08-22,1037.2262614320534
2022-08-23,1046.144355188779
2022-08-24,1058.4047670645418
2022-08-25,1043.9520187454111
2022-08-26,1039.2048657429866
2022-08-29,1036.44562138582
2022-08-30,1029.1724904397697
2022-08-31,1022.4472021126331
2022-09-01,1013.2220489430806
2022-09-02,1010.0147156097474
2022-09-05,1009.5845489430807
2022-09-06,1009.1522156097473
2022-09-07,990.7584259403499
2022-09-08,1012.0671240620364
2022-09-09,1027.4175644798863
2022-09-13,1036.8773322450156
2022-09-14,1042.9297083564768
2022-09-15,1041.8262188522885
2022-09-16,1047.4318897422006
2022-09-19,1048.3972707865553
2022-09-20,1047.8361041198887
2022-09-21,1038.4420970348817
2022-09-22,1025.7470139793581
2022-09-23,1023.6791794602643
2022-09-26,1008.3174950920675
2022-09-27,1007.7892114176146
2022-09-28,1008.3196643020507
2022-09-29,948.6933453202216
2022-09-30,902.4407438498351
2022-10-03,889.0333553809124
2022-10-05,902.9706480313274
2022-10-06,908.1775055042895
2022-10-07,897.7475587043082
2022-10-10,904.787644669503
2022-10-11,899.7724336007068
2022-10-12,892.5310697274028
2022-10-13,890.9392363940694
2022-10-14,885.468966512549
2022-10-17,878.7176625188317
2022-10-18,872.5229516557827
2022-10-19,866.769429417494
2022-10-20,865.366429417494
2022-10-21,855.4427054771492
2022-10-24,854.3827336753287
2022-10-25,814.6759092330955
2022-10-26,799.5253867155551
2022-10-27,759.4441626146103
2022-10-28,756.1439959479435
2022-10-31,754.2163292812769
2022-11-01,750.5061626146103
2022-11-02,746.2096601398208
2022-11-03,744.1849934731542
2022-11-04,752.8841387238789
2022-11-07,752.2484229003351
2022-11-08,748.7479229003351
2022-11-09,748.1080895670017
2022-11-10,744.9744229003351
2022-11-11,753.8854401270276
2022-11-14,770.3934824281008
2022-11-15,764.9606538467658
2022-11-16,768.9034980948546
2022-11-17,757.1850292000506
2022-11-18,761.8653734043943
2022-11-21,762.5552191696585
2022-11-22,768.8215457063772
2022-11-23,780.3860877346428
2022-11-24,797.4756384274746
2022-11-25,811.1908630196236
2022-11-28,820.7557180354164
2022-11-29,832.4915288010064
2022-11-30,847.291048046662
2022-12-01,849.5476566128756
2022-12-02,910.0874706119596
2022-12-05,914.6977389836845
2022-12-06,920.2240791865064
2022-12-07,919.9501257155039
2022-12-08,947.105909543076
2022-12-09,965.5518113998439
2022-12-12,959.1357598967522
2022-12-13,960.9168184244311
2022-12-14,963.2970597545482
2022-12-15,962.8488634902099
2022-12-16,962.5730258693482
2022-12-19,963.2650568052809
2022-12-20,965.5342234719476
2022-12-21,966.3315501446234
2022-12-22,965.5025972601874
2022-12-23,952.9467097203684
2022-12-28,961.226359859431
2022-12-29,981.7867093709469
2022-12-30,969.2902388995361
2023-01-03,986.4279316559665
2023-01-04,1002.7211165667518
2023-01-05,998.2843638263695
2023-01-06,1015.8738989044166
2023-01-09,1016.6260655710832
2023-01-10,1016.3225655710833
2023-01-11,1019.8396513136029
2023-01-12,1020.4039846469361
2023-01-13,1021.0799846469362
2023-01-16,1019.5634055564901
2023-01-17,1035.8546017947922
2023-01-18,1179.9834612782408
2023-01-19,1161.633490184108
2023-01-20,1174.0032505977256
2023-01-26,1199.0748828696644
2023-01-27,1223.7348661645058
2023-01-30,1274.0661409740846
2023-01-31,1287.1611471462456
2023-02-01,1295.636516515827
2023-02-02,1307.1765123204739
2023-02-03,1310.778055653807
2023-02-06,1306.0997749181724
2023-02-07,1306.2898019256243
2023-02-08,1313.7421123354368
2023-02-09,1318.2894423354367
2023-02-10,1319.5102756687702
