date,rolling_60d_turnover_hkd
2019-04-29,140488.77712732708
2019-04-30,140287.65134188015
2019-05-02,140007.40203081866
2019-05-03,140031.37881976052
2019-05-06,140030.71183990367
2019-05-07,139933.2377984446
2019-05-08,139816.07789282323
2019-05-09,146053.9925983665
2019-05-10,135405.8629766212
2019-05-14,130059.2332400077
2019-05-15,130424.62883780923
2019-05-16,129681.30454517945
2019-05-17,130613.03650540144
2019-05-20,131873.56248590827
2019-05-21,131954.72311959532
2019-05-22,131758.77383736955
2019-05-23,131998.5508213431
2019-05-24,131783.458162832
2019-05-27,131498.62201939148
2019-05-28,131370.80284409082
2019-05-29,131784.731802809
2019-05-30,131538.1035167372
2019-05-31,116912.41817941464
2019-06-03,115070.56576399785
2019-06-04,122690.92223709103
2019-06-05,123056.73123028975
2019-06-06,121844.83111562078
2019-06-10,121239.8146948402
2019-06-11,121228.92645189656
2019-06-12,120728.380496077
2019-06-13,120389.44116963753
2019-06-14,120112.22740650925
2019-06-17,120505.46361074803
2019-06-18,119920.61289868239
2019-06-19,119410.32883326709
2019-06-20,121272.09188178035
2019-06-21,121816.2797813782
2019-06-24,128667.16374062009
2019-06-25,128766.12399374704
2019-06-26,128848.71047376572
2019-06-27,128505.98171384331
2019-06-28,128613.46296040218
2019-07-02,127856.95461044334
2019-07-03,128653.86473609046
2019-07-04,128143.32811321685
2019-07-05,127750.88049925878
2019-07-08,127779.96826683184
2019-07-09,128256.98920214483
2019-07-10,127600.84098280048
2019-07-11,127281.8345146517
2019-07-12,128165.72609313599
2019-07-15,128114.20359466385
2019-07-16,119875.71761393583
2019-07-17,111945.29895608239
2019-07-18,110464.42919248383
2019-07-19,111602.96785700714
2019-07-22,113670.97811352926
2019-07-23,114121.81736039909
2019-07-24,112670.70353526245
2019-07-25,112321.39558916543
2019-07-26,113333.9362151304
2019-07-29,114507.29246948681
2019-07-30,114531.30766387371
2019-07-31,114630.07578458384
2019-08-01,114641.27141731052
2019-08-02,114821.2911646537
2019-08-05,114719.9596167595
2019-08-06,119144.36769759102
2019-08-07,117670.13288064624
2019-08-08,117715.13296654451
2019-08-09,120024.41133247697
2019-08-12,120033.23152297158
2019-08-13,118889.6783496424
2019-08-14,118155.29494051595
2019-08-15,118532.14088537592
2019-08-16,118633.27299953542
2019-08-19,118811.03380460899
2019-08-20,118680.6145071389
2019-08-21,118948.5231641258
2019-08-22,118532.9393944506
2019-08-23,118179.37428439726
2019-08-26,118741.59755030577
2019-08-27,118905.96088036736
2019-08-28,120815.67209303463
2019-08-29,114505.87664867738
2019-08-30,113524.38421280445
2019-09-02,113663.1721942849
2019-09-03,113689.28549029955
2019-09-04,113397.96964012396
2019-09-05,113790.69111685376
2019-09-06,114137.82499188634
2019-09-09,114238.53766033234
2019-09-10,113595.37880501253
2019-09-11,113622.98500260181
2019-09-12,113357.72333260573
2019-09-13,111356.99134518967
2019-09-16,110684.78607303902
2019-09-17,110600.8082551063
2019-09-18,107472.98716362876
2019-09-19,106472.85160510174
2019-09-20,110513.04591530043
2019-09-23,110380.62610589377
2019-09-24,110056.16669365941
2019-09-25,109040.85200916688
2019-09-26,109163.36549980263
2019-09-27,109130.62963718388
2019-09-30,109257.84287259556
2019-10-02,107810.6109960895
2019-10-03,107870.76539054517
2019-10-04,107878.73080083674
2019-10-08,106237.94752664994
2019-10-09,106022.68162355245
2019-10-10,94042.82874487349
2019-10-11,92563.93657722612
2019-10-14,91151.99141758741
2019-10-15,89733.06634931362
2019-10-16,86831.42645304785
2019-10-17,85554.8491723682
2019-10-18,84855.2802087461
2019-10-21,84930.32070647264
2019-10-22,83787.99356010543
2019-10-23,82580.79499308756
2019-10-24,82473.89777586122
2019-10-25,82312.82646716155
2019-10-28,81882.2096061467
2019-10-29,81697.75326459466
2019-10-30,81869.26966851071
2019-10-31,80087.39673277945
2019-11-01,80905.69222921379
2019-11-04,82505.81020719874
2019-11-05,80093.65862414302
2019-11-06,80599.77378029961
2019-11-07,80933.0198901129
2019-11-08,81114.44491902832
