"Date","AssetType","Security","Side","Quantity","AvailableQuantity","CloseOrSettlementPrice","MarketValue","UnrealizedPnL","AverageOpenPrice","AverageHoldingPriceFutures","Margin","DailyPnL","TodayQuantity","PnLRatio","PositionRatio"
"2015-09-18","Equity","600018.XSHG","Long","300 shares","300 shares","7.3","2190","-60","7.5","-","0","9","0 shares","-2.67%","533843.34"
"2015-09-18","","Cash","","","","","359606.34","","","","","","","","0"
"2015-09-21","Equity","600900.XSHG","Long","7500 shares","7500 shares","14.73","110475","-675","14.82","-","0","0","0 shares","-0.61%","533984.34"
"2015-09-21","Equity","600519.XSHG","Long","200 shares","200 shares","199.3","39860","1374","192.43","-","0","-26","0 shares","3.57%","533984.34"
"2015-09-21","Equity","600036.XSHG","Long","200 shares","200 shares","17.57","3514","94","17.1","-","0","-28","0 shares","2.75%","533984.34"
"2015-09-21","Equity","600000.XSHG","Long","300 shares","300 shares","14.97","4491","-159","15.5","-","0","-18","0 shares","-3.42%","533984.34"
"2015-09-21","Equity","600276.XSHG","Long","300 shares","300 shares","46.07","13821","57","45.88","-","0","186","0 shares","0.41%","533984.34"
"2015-09-21","Equity","600018.XSHG","Long","300 shares","300 shares","7.39","2217","-33","7.5","-","0","27","0 shares","-1.47%","533984.34"
"2015-09-21","","Cash","","","","","359606.34","","","","","","","","0"
"2015-09-22","Equity","600900.XSHG","Long","7500 shares","7500 shares","14.73","110475","-675","14.82","-","0","0","0 shares","-0.61%","534014.34"
"2015-09-22","Equity","600519.XSHG","Long","200 shares","200 shares","199.27","39854","1368","192.43","-","0","-6","0 shares","3.55%","534014.34"
"2015-09-22","Equity","600036.XSHG","Long","200 shares","200 shares","17.96","3592","172","17.1","-","0","78","0 shares","5.03%","534014.34"
"2015-09-22","Equity","600000.XSHG","Long","300 shares","300 shares","15.05","4515","-135","15.5","-","0","24","0 shares","-2.9%","534014.34"
"2015-09-22","Equity","600276.XSHG","Long","300 shares","300 shares","45.83","13749","-15","45.88","-","0","-72","0 shares","-0.11%","534014.34"
"2015-09-22","Equity","600018.XSHG","Long","300 shares","300 shares","7.41","2223","-27","7.5","-","0","6","0 shares","-1.2%","534014.34"
"2015-09-22","","Cash","","","","","359606.34","","","","","","","","0"
"2015-09-23","Equity","600900.XSHG","Long","7500 shares","7500 shares","14.73","110475","-675","14.82","-","0","0","0 shares","-0.61%","532803.34"
