"Date","OrderTime","AssetType","Security","TradeSide","OrderType","FilledQuantity","FilledPrice","FilledAmount","OrderQuantity","OrderPrice","RealizedPnL","Commission","Status","LastUpdatedAt"
"2016-01-19","11:25:00","Equity","601919.XSHG","Sell","MarketOrder","-91300 shares","6.54","-597102","-91300 shares","-","64823","776.23","Filled","2016-01-19 11:25:00"
"2016-01-20","11:25:00","Equity","002402.XSHE","Sell","MarketOrder","-28700 shares","20.28","-582036","-28700 shares","-","49651","756.65","Filled","2016-01-20 11:25:00"
"2016-01-22","11:25:00","Equity","600160.XSHG","Sell","MarketOrder","-70000 shares","14.57","-1019900","-70000 shares","-","-30800","1325.87","Filled","2016-01-22 11:25:00"
"2016-01-27","09:30:00","Equity","603799.XSHG","Buy","MarketOrder","108800 shares","15.51","1687488","108800 shares","-","0","506.25","Filled","2016-01-27 09:30:00"
"2016-01-27","09:30:00","Equity","300059.XSHE","Buy","MarketOrder","45500 shares","37.11","1688505","45500 shares","-","0","506.55","Filled","2016-01-27 09:30:00"
"2016-01-28","14:50:00","Equity","603799.XSHG","Sell","MarketOrder","-108800 shares","14.99","-1630912","-108800 shares","-","-56576","2120.19","Filled","2016-01-28 14:50:00"
"2016-01-29","09:30:00","Equity","002402.XSHE","Buy","MarketOrder","25000 shares","16.27","406750","25000 shares","-","0","122.02","Filled","2016-01-29 09:30:00"
"2016-01-29","09:30:00","Equity","002600.XSHE","Buy","MarketOrder","59400 shares","6.85","406890","59400 shares","-","0","122.07","Filled","2016-01-29 09:30:00"
"2016-01-29","09:30:00","Equity","601919.XSHG","Buy","MarketOrder","79000 shares","5.15","406850","79000 shares","-","0","122.06","Filled","2016-01-29 09:30:00"
"2016-01-29","09:30:00","Equity","300274.XSHE","Buy","MarketOrder","24100 shares","16.89","407049","24100 shares","-","0","122.11","Filled","2016-01-29 09:30:00"
"2016-02-03","14:50:00","Equity","300274.XSHE","Sell","MarketOrder","-24100 shares","20.9","-503690","-24100 shares","-","96641","654.8","Filled","2016-02-03 14:50:00"
"2016-02-04","09:30:00","Equity","600760.XSHG","Buy","MarketOrder","53700 shares","9.38","503706","53700 shares","-","0","151.11","Filled","2016-02-04 09:30:00"
"2016-02-04","11:25:00","Equity","002402.XSHE","Sell","MarketOrder","-25000 shares","18.65","-466250","-25000 shares","-","59500","606.12","Filled","2016-02-04 11:25:00"
"2016-02-05","11:25:00","Equity","600760.XSHG","Sell","MarketOrder","-53700 shares","9.84","-528408","-53700 shares","-","24702","686.93","Filled","2016-02-05 11:25:00"
"2016-02-16","11:25:00","Equity","002600.XSHE","Sell","MarketOrder","-59400 shares","7.91","-469854","-59400 shares","-","62964","610.81","Filled","2016-02-16 11:25:00"
"2016-02-17","11:25:00","Equity","601919.XSHG","Sell","MarketOrder","-79000 shares","5.94","-469260","-79000 shares","-","62410","610.04","Filled","2016-02-17 11:25:00"
"2016-02-26","09:30:00","Equity","002780.XSHE","Buy","MarketOrder","24400 shares","79.1","1930040","24400 shares","-","0","579.01","Filled","2016-02-26 09:30:00"
"2016-02-29","09:30:00","Equity","601919.XSHG","Buy","MarketOrder","100 shares","5.77","577","100 shares","-","0","5","Filled","2016-02-29 09:30:00"
"2016-02-29","11:25:00","Equity","300059.XSHE","Sell","MarketOrder","-45500 shares","33.76","-1536080","-45500 shares","-","-152425","1996.9","Filled","2016-02-29 11:25:00"
"2016-02-29","11:25:00","Equity","002780.XSHE","Sell","MarketOrder","-0 shares","--","0","-24400 shares","-","-0","0","Canceled","2016-02-29 11:25:00"
"2016-02-29","14:50:00","Equity","002780.XSHE","Sell","MarketOrder","-0 shares","--","0","-24400 shares","-","-0","0","Canceled","2016-02-29 14:50:00"
"2016-03-01","09:30:00","Equity","600760.XSHG","Buy","MarketOrder","54200 shares","9.42","510564","54200 shares","-","0","153.17","Filled","2016-03-01 09:30:00"
"2016-03-01","09:30:00","Equity","603799.XSHG","Buy","MarketOrder","36100 shares","14.13","510093","36100 shares","-","0","153.03","Filled","2016-03-01 09:30:00"
"2016-03-01","09:30:00","Equity","300059.XSHE","Buy","MarketOrder","15400 shares","33.18","510972","15400 shares","-","0","153.29","Filled","2016-03-01 09:30:00"
"2016-03-01","11:25:00","Equity","002780.XSHE","Sell","MarketOrder","-24400 shares","63.7","-1554280","-24400 shares","-","-375760","2020.56","Filled","2016-03-01 11:25:00"
"2016-03-01","11:25:00","Equity","601919.XSHG","Sell","MarketOrder","-100 shares","5.53","-553","-100 shares","-","-24","5.55","Filled","2016-03-01 11:25:00"
"2016-03-02","09:30:00","Equity","002780.XSHE","Buy","MarketOrder","11600 shares","67","777200","11600 shares","-","0","233.16","Filled","2016-03-02 09:30:00"
"2016-03-02","09:30:00","Equity","600160.XSHG","Buy","MarketOrder","75100 shares","10.35","777285","75100 shares","-","0","233.19","Filled","2016-03-02 09:30:00"
"2016-03-02","11:25:00","Equity","603799.XSHG","Sell","MarketOrder","-36100 shares","16.3","-588430","-36100 shares","-","78337","764.96","Filled","2016-03-02 11:25:00"
"2016-03-04","11:25:00","Equity","600760.XSHG","Sell","MarketOrder","-54200 shares","11.29","-611918","-54200 shares","-","101354","795.49","Filled","2016-03-04 11:25:00"
"2016-03-04","11:25:00","Equity","002780.XSHE","Sell","MarketOrder","-11600 shares","62.02","-719432","-11600 shares","-","-57768","935.26","Filled","2016-03-04 11:25:00"
"2016-03-07","09:30:00","Equity","002780.XSHE","Buy","MarketOrder","15400 shares","61.96","954184","15400 shares","-","0","286.26","Filled","2016-03-07 09:30:00"
"2016-03-07","09:30:00","Equity","002335.XSHE","Buy","MarketOrder","32700 shares","29.3","958110","32700 shares","-","0","287.43","Filled","2016-03-07 09:30:00"
"2016-03-08","11:25:00","Equity","002780.XSHE","Sell","MarketOrder","-15400 shares","60.57","-932778","-15400 shares","-","-21406","1212.61","Filled","2016-03-08 11:25:00"
"2016-03-09","09:30:00","Equity","002780.XSHE","Buy","MarketOrder","15600 shares","60","936000","15600 shares","-","0","280.8","Filled","2016-03-09 09:30:00"
"2016-03-10","11:25:00","Equity","600160.XSHG","Sell","MarketOrder","-75100 shares","10.09","-757759","-75100 shares","-","-19526","985.09","Filled","2016-03-10 11:25:00"
"2016-03-11","09:30:00","Equity","601600.XSHG","Buy","MarketOrder","175900 shares","4.3","756370","175900 shares","-","0","226.91","Filled","2016-03-11 09:30:00"
"2016-03-14","11:25:00","Equity","002780.XSHE","Sell","MarketOrder","-15600 shares","72.5","-1131000","-15600 shares","-","195000","1470.3","Filled","2016-03-14 11:25:00"
"2016-03-17","14:50:00","Equity","300059.XSHE","Sell","MarketOrder","-15400 shares","38.84","-598136","-15400 shares","-","87164","777.58","Filled","2016-03-17 14:50:00"
"2016-03-17","14:50:00","Equity","002335.XSHE","Sell","MarketOrder","-32700 shares","34","-1111800","-32700 shares","-","153690","1445.34","Filled","2016-03-17 14:50:00"
"2016-04-12","11:25:00","Equity","601600.XSHG","Sell","MarketOrder","-175900 shares","4.54","-798586","-175900 shares","-","42216","1038.16","Filled","2016-04-12 11:25:00"
"2016-04-21","09:30:00","Equity","300274.XSHE","Buy","MarketOrder","82400 shares","22.03","1815272","82400 shares","-","0","544.58","Filled","2016-04-21 09:30:00"
"2016-04-21","09:30:00","Equity","300207.XSHE","Buy","MarketOrder","72400 shares","25.1","1817240","72400 shares","-","0","545.17","Filled","2016-04-21 09:30:00"
"2016-04-25","11:25:00","Equity","300274.XSHE","Sell","MarketOrder","-82400 shares","23.01","-1896024","-82400 shares","-","80752","2464.83","Filled","2016-04-25 11:25:00"
"2016-05-03","09:30:00","Equity","300059.XSHE","Buy","MarketOrder","43400 shares","21.82","946988","43400 shares","-","0","284.1","Filled","2016-05-03 09:30:00"
"2016-05-03","09:30:00","Equity","300274.XSHE","Buy","MarketOrder","42000 shares","22.52","945840","42000 shares","-","0","283.75","Filled","2016-05-03 09:30:00"
"2016-05-05","11:25:00","Equity","300274.XSHE","Sell","MarketOrder","-42000 shares","23.35","-980700","-42000 shares","-","34860","1274.91","Filled","2016-05-05 11:25:00"
"2016-05-09","11:25:00","Equity","300207.XSHE","Sell","MarketOrder","-72400 shares","24.23","-1754252","-72400 shares","-","-62988","2280.53","Filled","2016-05-09 11:25:00"
"2016-05-09","11:25:00","Equity","300059.XSHE","Sell","MarketOrder","-43400 shares","20.42","-886228","-43400 shares","-","-60760","1152.1","Filled","2016-05-09 11:25:00"
"2016-05-10","09:30:00","Equity","601919.XSHG","Buy","MarketOrder","346500 shares","5.22","1808730","346500 shares","-","0","542.62","Filled","2016-05-10 09:30:00"
"2016-05-10","09:30:00","Equity","601600.XSHG","Buy","MarketOrder","463700 shares","3.9","1808430","463700 shares","-","0","542.53","Filled","2016-05-10 09:30:00"
